Time (seconds),Requests,Throughput (requests/second),Minimum Latency (microseconds),25th Percentile Latency (microseconds),Median Latency (microseconds),Average Latency (microseconds),75th Percentile Latency (microseconds),90th Percentile Latency (microseconds),95th Percentile Latency (microseconds),99th Percentile Latency (microseconds),Maximum Latency (microseconds)
0,1251,1251.000,10,9997,18121,23054,31906,45653,57078,86905,147649
1,1250,1250.000,7,5030,7526,8806,10646,15659,20109,33492,52618
2,1250,1250.000,5,4523,6528,8023,9756,14708,18914,29090,57068
3,1250,1250.000,3,3925,5930,6648,8309,11805,13938,21552,38522
4,1250,1250.000,3,2998,4618,5334,6424,9363,12168,20938,36158
5,1250,1250.000,5,3044,4684,5400,6877,9861,11906,17037,30037
6,1250,1250.000,4,3133,4693,5258,6530,9493,11555,16687,24608
7,1250,1250.000,3,2416,3884,4225,5395,7374,9152,12647,25667
8,1250,1250.000,3,2743,4237,4676,5817,8383,10035,13697,28839
9,1250,1250.000,3,2818,4385,5086,6303,9367,11480,18705,24314
10,1250,1250.000,3,2736,4293,4633,5637,8272,9798,14725,21780
11,1250,1250.000,3,2785,4540,6269,6724,10504,14661,52528,71385
12,1250,1250.000,3,2745,4326,4782,5965,8672,10603,15084,19609
13,848,848.000,3,2955,4533,42914,6452,10138,16311,1022057,1035443
14,907,907.000,5,6298,9220,12174,15826,25162,31970,41323,72588
15,1995,1995.000,3,3925,6435,8668,11424,19254,23701,30305,40884
16,1250,1250.000,5,2843,4376,4811,6071,8535,10245,15530,21722
17,1250,1250.000,4,2970,4598,5046,6264,8921,10916,15797,24345
18,1250,1250.000,3,2592,4302,4710,6009,8368,10252,14545,30575
19,1247,1247.000,3,2436,4074,4547,5804,8177,9964,14598,28211
