Transaction Type Index,Transaction Name,Start Time (microseconds),Latency (microseconds),Worker Id (start number),Phase Id (index in config file)
2,Payment,1731101466.113577,89085,8,1
4,Delivery,1731101466.113848,64591,7,1
1,NewOrder,1731101466.114638,89522,4,1
2,Payment,1731101466.115450,86905,29,1
1,NewOrder,1731101466.116244,80169,12,1
2,Payment,1731101466.117041,84595,9,1
2,Payment,1731101466.117869,84422,1,1
1,NewOrder,1731101466.118662,128605,5,1
2,Payment,1731101466.119463,79132,2,1
4,Delivery,1731101466.120263,83637,11,1
2,Payment,1731101466.121042,81860,0,1
2,Payment,1731101466.121909,52387,13,1
1,NewOrder,1731101466.122647,93890,3,1
2,Payment,1731101466.123438,78327,16,1
1,NewOrder,1731101466.124247,74905,15,1
5,StockLevel,1731101466.125054,28178,14,1
2,Payment,1731101466.125850,75000,17,1
1,NewOrder,1731101466.126658,72879,18,1
1,NewOrder,1731101466.127446,56989,19,1
3,OrderStatus,1731101466.128237,19007,20,1
2,Payment,1731101466.130796,70172,21,1
2,Payment,1731101466.130809,71367,23,1
2,Payment,1731101466.130827,73756,22,1
1,NewOrder,1731101466.131459,73680,24,1
2,Payment,1731101466.132245,68227,25,1
2,Payment,1731101466.133048,66697,26,1
2,Payment,1731101466.133853,70330,27,1
1,NewOrder,1731101466.134646,110500,28,1
2,Payment,1731101466.135443,65783,6,1
5,StockLevel,1731101466.136246,41400,31,1
2,Payment,1731101466.137060,65612,30,1
2,Payment,1731101466.147355,54221,20,1
1,NewOrder,1731101466.153269,63255,14,1
1,NewOrder,1731101466.154602,42503,10,1
2,Payment,1731101466.174336,69996,13,1
1,NewOrder,1731101466.177688,93421,31,1
3,OrderStatus,1731101466.178474,10478,7,1
1,NewOrder,1731101466.184469,62567,19,1
2,Payment,1731101466.188978,53461,7,1
1,NewOrder,1731101466.196444,41209,12,1
1,NewOrder,1731101466.197125,40240,10,1
2,Payment,1731101466.198630,12253,2,1
1,NewOrder,1731101466.199186,42782,15,1
1,NewOrder,1731101466.199568,71940,18,1
1,NewOrder,1731101466.199777,58651,26,1
1,NewOrder,1731101466.200515,55389,25,1
3,OrderStatus,1731101466.200879,9541,17,1
2,Payment,1731101466.200998,57459,21,1
2,Payment,1731101466.201253,57041,6,1
2,Payment,1731101466.201598,56218,20,1
2,Payment,1731101466.201666,57013,9,1
2,Payment,1731101466.201786,57271,16,1
1,NewOrder,1731101466.202204,33810,23,1
1,NewOrder,1731101466.202324,57560,1,1
1,NewOrder,1731101466.202375,58089,29,1
2,Payment,1731101466.202684,56216,8,1
2,Payment,1731101466.202702,57871,30,1
2,Payment,1731101466.202923,59290,0,1
2,Payment,1731101466.203924,57585,11,1
1,NewOrder,1731101466.204191,78850,4,1
1,NewOrder,1731101466.204206,63652,27,1
1,NewOrder,1731101466.204607,70537,22,1
1,NewOrder,1731101466.205161,30389,24,1
2,Payment,1731101466.210442,49558,17,1
4,Delivery,1731101466.210898,10,2,1
1,NewOrder,1731101466.210918,52649,2,1
1,NewOrder,1731101466.216549,57078,14,1
1,NewOrder,1731101466.216574,55233,3,1
2,Payment,1731101466.235590,49349,24,1
2,Payment,1731101466.236041,40395,23,1
4,Delivery,1731101466.237388,77837,10,1
2,Payment,1731101466.237680,39443,12,1
1,NewOrder,1731101466.241988,41166,15,1
5,StockLevel,1731101466.242459,6606,7,1
1,NewOrder,1731101466.244362,40001,13,1
4,Delivery,1731101466.245207,110031,28,1
4,Delivery,1731101466.247060,147649,19,1
2,Payment,1731101466.247303,38733,5,1
2,Payment,1731101466.249085,43608,7,1
1,NewOrder,1731101466.255926,18781,25,1
1,NewOrder,1731101466.257836,74514,20,1
1,NewOrder,1731101466.258313,31897,6,1
2,Payment,1731101466.258453,17977,26,1
3,OrderStatus,1731101466.258474,6729,21,1
1,NewOrder,1731101466.258696,47480,9,1
2,Payment,1731101466.258920,34116,8,1
1,NewOrder,1731101466.259070,70375,16,1
5,StockLevel,1731101466.259905,38147,1,1
2,Payment,1731101466.260011,31657,17,1
3,OrderStatus,1731101466.260487,6437,29,1
1,NewOrder,1731101466.260599,35151,30,1
1,NewOrder,1731101466.261535,50936,11,1
2,Payment,1731101466.262236,29755,0,1
1,NewOrder,1731101466.263593,28660,2,1
3,OrderStatus,1731101466.265223,6024,21,1
1,NewOrder,1731101466.266951,51769,29,1
2,Payment,1731101466.267884,23377,27,1
2,Payment,1731101466.271133,48408,31,1
2,Payment,1731101466.271269,63768,21,1
4,Delivery,1731101466.271529,122628,18,1
1,NewOrder,1731101466.271828,16331,3,1
1,NewOrder,1731101466.273651,43401,14,1
1,NewOrder,1731101466.274730,25403,25,1
2,Payment,1731101466.275170,58371,22,1
2,Payment,1731101466.276450,59406,26,1
2,Payment,1731101466.276462,8248,23,1
1,NewOrder,1731101466.277150,42122,12,1
2,Payment,1731101466.283177,60949,15,1
2,Payment,1731101466.284385,50333,13,1
1,NewOrder,1731101466.284733,40583,23,1
2,Payment,1731101466.284958,52365,24,1
1,NewOrder,1731101466.285670,23252,4,1
1,NewOrder,1731101466.286055,38748,5,1
1,NewOrder,1731101466.288183,16368,3,1
2,Payment,1731101466.290231,52042,6,1
2,Payment,1731101466.291282,41847,27,1
1,NewOrder,1731101466.291693,30280,17,1
2,Payment,1731101466.292011,52604,0,1
1,NewOrder,1731101466.292270,35511,2,1
2,Payment,1731101466.292715,59013,7,1
1,NewOrder,1731101466.293052,45537,8,1
2,Payment,1731101466.295771,55158,30,1
1,NewOrder,1731101466.298077,29240,1,1
2,Payment,1731101466.300160,52193,25,1
5,StockLevel,1731101466.304576,10291,3,1
1,NewOrder,1731101466.306196,18011,9,1
2,Payment,1731101466.308954,44814,4,1
2,Payment,1731101466.312502,40984,11,1
2,Payment,1731101466.314930,40290,3,1
2,Payment,1731101466.315243,38312,10,1
5,StockLevel,1731101466.317108,9623,14,1
2,Payment,1731101466.318748,32628,29,1
5,StockLevel,1731101466.319293,3497,12,1
1,NewOrder,1731101466.319567,34579,31,1
2,Payment,1731101466.321995,32350,17,1
4,Delivery,1731101466.322812,84606,12,1
1,NewOrder,1731101466.324232,26509,9,1
1,NewOrder,1731101466.324880,28519,5,1
1,NewOrder,1731101466.325332,13933,23,1
1,NewOrder,1731101466.326748,27958,14,1
1,NewOrder,1731101466.327344,22043,1,1
5,StockLevel,1731101466.327798,4014,2,1
1,NewOrder,1731101466.329464,14418,16,1
2,Payment,1731101466.331830,22710,2,1
3,OrderStatus,1731101466.332366,7310,20,1
1,NewOrder,1731101466.333148,29271,27,1
1,NewOrder,1731101466.333567,11701,22,1
1,NewOrder,1731101466.334740,38231,13,1
2,Payment,1731101466.335058,28807,21,1
1,NewOrder,1731101466.335880,28901,26,1
2,Payment,1731101466.337342,27578,24,1
2,Payment,1731101466.338615,26029,8,1
2,Payment,1731101466.339284,33354,23,1
2,Payment,1731101466.339691,32650,20,1
1,NewOrder,1731101466.342295,45653,6,1
2,Payment,1731101466.343901,45487,16,1
1,NewOrder,1731101466.344142,39741,15,1
4,Delivery,1731101466.344636,12,0,1
1,NewOrder,1731101466.344662,26913,0,1
1,NewOrder,1731101466.345431,21567,22,1
3,OrderStatus,1731101466.349411,9626,1,1
2,Payment,1731101466.350763,12069,9,1
1,NewOrder,1731101466.350944,41054,30,1
1,NewOrder,1731101466.351401,28188,29,1
1,NewOrder,1731101466.351749,30270,7,1
2,Payment,1731101466.352376,35444,25,1
1,NewOrder,1731101466.353419,46338,5,1
1,NewOrder,1731101466.353496,23239,11,1
1,NewOrder,1731101466.353563,23810,10,1
2,Payment,1731101466.353780,48069,4,1
2,Payment,1731101466.354163,49900,31,1
2,Payment,1731101466.354360,47130,17,1
2,Payment,1731101466.354552,48716,2,1
3,OrderStatus,1731101466.354720,5721,14,1
2,Payment,1731101466.355237,44634,3,1
2,Payment,1731101466.355265,43412,28,1
1,NewOrder,1731101466.359247,44228,1,1
2,Payment,1731101466.360463,38846,14,1
1,NewOrder,1731101466.362444,12337,27,1
2,Payment,1731101466.362853,38140,9,1
1,NewOrder,1731101466.363887,34832,21,1
1,NewOrder,1731101466.364664,50860,8,1
1,NewOrder,1731101466.364803,32172,26,1
5,StockLevel,1731101466.364980,8978,24,1
1,NewOrder,1731101466.367018,45859,22,1
2,Payment,1731101466.371603,26157,0,1
2,Payment,1731101466.372362,41640,20,1
2,Payment,1731101466.372654,40041,23,1
2,Payment,1731101466.372988,40708,13,1
1,NewOrder,1731101466.373977,28924,24,1
2,Payment,1731101466.374798,39207,27,1
1,NewOrder,1731101466.376754,32684,11,1
1,NewOrder,1731101466.377392,34006,10,1
1,NewOrder,1731101466.379610,41202,29,1
2,Payment,1731101466.382041,29917,7,1
1,NewOrder,1731101466.383909,21563,15,1
1,NewOrder,1731101466.387842,32342,25,1
1,NewOrder,1731101466.387959,23584,6,1
2,Payment,1731101466.389409,32583,16,1
3,OrderStatus,1731101466.392019,3285,30,1
1,NewOrder,1731101466.394176,29557,18,1
3,OrderStatus,1731101466.394878,10215,19,1
1,NewOrder,1731101466.395324,48861,30,1
2,Payment,1731101466.396996,12198,26,1
2,Payment,1731101466.397786,30935,0,1
2,Payment,1731101466.398700,32125,28,1
1,NewOrder,1731101466.398743,42243,21,1
2,Payment,1731101466.399335,28858,14,1
1,NewOrder,1731101466.399774,28431,5,1
1,NewOrder,1731101466.399897,7776,3,1
2,Payment,1731101466.401019,28101,9,1
4,Delivery,1731101466.401510,31947,17,1
2,Payment,1731101466.401867,24438,4,1
5,StockLevel,1731101466.402921,14371,24,1
1,NewOrder,1731101466.403285,17035,2,1
2,Payment,1731101466.403500,24011,1,1
2,Payment,1731101466.404082,23313,31,1
1,NewOrder,1731101466.405112,22534,19,1
1,NewOrder,1731101466.405513,11984,15,1
2,Payment,1731101466.407440,19824,12,1
4,Delivery,1731101466.407695,34052,3,1
2,Payment,1731101466.409217,10546,26,1
1,NewOrder,1731101466.409454,49850,11,1
2,Payment,1731101466.411467,24564,10,1
1,NewOrder,1731101466.411979,44748,7,1
1,NewOrder,1731101466.412137,22932,6,1
1,NewOrder,1731101466.412719,26551,23,1
2,Payment,1731101466.412892,22451,22,1
2,Payment,1731101466.413894,21891,13,1
2,Payment,1731101466.414023,21168,27,1
2,Payment,1731101466.414028,24026,20,1
2,Payment,1731101466.415631,22315,8,1
2,Payment,1731101466.417317,18330,24,1
1,NewOrder,1731101466.417521,29472,15,1
1,NewOrder,1731101466.419787,40879,26,1
5,StockLevel,1731101466.420207,5569,25,1
1,NewOrder,1731101466.420331,24826,2,1
2,Payment,1731101466.420833,24429,29,1
1,NewOrder,1731101466.423043,21712,16,1
1,NewOrder,1731101466.423754,24187,18,1
1,NewOrder,1731101466.425800,30530,25,1
1,NewOrder,1731101466.426332,23382,4,1
2,Payment,1731101466.427286,30635,12,1
2,Payment,1731101466.427407,29227,31,1
1,NewOrder,1731101466.427671,24267,19,1
1,NewOrder,1731101466.428215,24777,14,1
2,Payment,1731101466.428269,29398,5,1
2,Payment,1731101466.428591,15613,1,1
2,Payment,1731101466.428742,29145,0,1
2,Payment,1731101466.429142,28161,9,1
1,NewOrder,1731101466.430848,15949,28,1
2,Payment,1731101466.433515,24506,17,1
2,Payment,1731101466.435093,37241,6,1
1,NewOrder,1731101466.435213,5902,27,1
2,Payment,1731101466.435361,20712,22,1
1,NewOrder,1731101466.435667,22164,24,1
1,NewOrder,1731101466.435957,16117,13,1
2,Payment,1731101466.436041,37288,10,1
2,Payment,1731101466.437969,34477,8,1
1,NewOrder,1731101466.438066,27973,20,1
1,NewOrder,1731101466.439293,18912,23,1
2,Payment,1731101466.441011,33153,21,1
2,Payment,1731101466.441129,32886,27,1
2,Payment,1731101466.441781,32318,3,1
2,Payment,1731101466.444210,36891,30,1
2,Payment,1731101466.444237,36960,1,1
3,OrderStatus,1731101466.444775,6268,16,1
2,Payment,1731101466.445174,36323,2,1
2,Payment,1731101466.445288,35224,29,1
1,NewOrder,1731101466.446820,28667,28,1
1,NewOrder,1731101466.447007,20228,15,1
5,StockLevel,1731101466.447962,4027,18,1
2,Payment,1731101466.449735,30105,4,1
1,NewOrder,1731101466.451063,18549,16,1
1,NewOrder,1731101466.451959,17624,19,1
1,NewOrder,1731101466.452013,18573,18,1
2,Payment,1731101466.452086,26899,13,1
5,StockLevel,1731101466.453176,2870,14,1
2,Payment,1731101466.456073,24374,14,1
1,NewOrder,1731101466.456099,9509,22,1
1,NewOrder,1731101466.456348,9919,25,1
2,Payment,1731101466.456650,15309,31,1
2,Payment,1731101466.456737,32665,7,1
2,Payment,1731101466.457323,32216,9,1
2,Payment,1731101466.457685,31021,5,1
2,Payment,1731101466.457848,31651,24,1
4,Delivery,1731101466.457916,11,0,1
2,Payment,1731101466.457934,32951,12,1
2,Payment,1731101466.457938,30906,0,1
1,NewOrder,1731101466.458031,20025,17,1
1,NewOrder,1731101466.458221,25654,23,1
1,NewOrder,1731101466.459520,8455,11,1
1,NewOrder,1731101466.460687,29742,26,1
1,NewOrder,1731101466.465630,38846,22,1
2,Payment,1731101466.466064,23103,20,1
1,NewOrder,1731101466.466288,30012,25,1
5,StockLevel,1731101466.467255,3546,15,1
1,NewOrder,1731101466.467994,46509,11,1
3,OrderStatus,1731101466.469610,1764,19,1
2,Payment,1731101466.469634,20482,16,1
5,StockLevel,1731101466.470613,4250,18,1
2,Payment,1731101466.470823,20800,15,1
2,Payment,1731101466.471397,51398,19,1
2,Payment,1731101466.471981,6374,31,1
2,Payment,1731101466.472355,15954,6,1
1,NewOrder,1731101466.472457,39710,8,1
2,Payment,1731101466.473366,39183,10,1
1,NewOrder,1731101466.474038,27316,27,1
1,NewOrder,1731101466.474109,28327,3,1
2,Payment,1731101466.474172,34931,21,1
1,NewOrder,1731101466.474886,29170,18,1
1,NewOrder,1731101466.475509,28344,28,1
1,NewOrder,1731101466.478101,27269,17,1
3,OrderStatus,1731101466.478384,7672,31,1
