Time (seconds),Requests,Throughput (requests/second),Minimum Latency (microseconds),25th Percentile Latency (microseconds),Median Latency (microseconds),Average Latency (microseconds),75th Percentile Latency (microseconds),90th Percentile Latency (microseconds),95th Percentile Latency (microseconds),99th Percentile Latency (microseconds),Maximum Latency (microseconds)
0,1543,1543.000,1,10442,18065,20850,26645,36496,47705,91779,188509
1,1963,1963.000,4,8158,14047,15752,22169,29916,34739,42751,57351
2,1750,1750.000,3,5884,9121,11091,14101,22083,27550,37619,53973
3,1750,1750.000,3,5301,8741,11099,13913,21894,28076,53530,63711
4,1750,1750.000,1,5229,8175,9787,12722,19284,23527,31485,52462
5,1750,1750.000,1,4575,6640,8207,9961,15902,20178,30528,46677
6,1750,1750.000,4,4828,7473,9022,11538,16739,21717,32077,39107
7,1750,1750.000,1,4351,6740,7865,9767,14090,18592,31371,40578
8,1750,1750.000,2,4627,7223,8056,10412,14498,17110,24238,36845
9,1750,1750.000,3,6358,11648,14748,20810,29519,36330,53205,63734
10,520,520.000,3,7845,12798,77588,20813,43012,1032283,1049744,1057378
11,1288,1288.000,5,9087,14295,16826,22629,33024,37521,48530,95161
12,2217,2217.000,4,8260,13015,14389,18660,26599,33425,42244,83391
13,2178,2178.000,5,7885,13249,14719,19612,27833,32707,41247,70041
14,2313,2313.000,2,8607,12515,13743,17568,24517,29237,41887,68425
15,174,174.000,1,6176,14023,195832,22364,1012981,1021721,1028120,1051313
16,2168,2168.000,3,7644,12228,13852,18773,26266,31532,39057,54034
17,2426,2426.000,2,7644,11964,13188,17749,24237,27269,37667,67090
18,2340,2340.000,3,7420,11719,13679,18120,26730,32302,42085,59895
19,1866,1866.000,1,4549,7332,9195,11651,18262,24292,37508,61795
