Transaction Type Index,Transaction Name,Start Time (microseconds),Latency (microseconds),Worker Id (start number),Phase Id (index in config file)
2,Payment,1731100788.494736,77141,25,1
1,NewOrder,1731100788.494773,28178,1,1
2,Payment,1731100788.495107,77190,0,1
2,Payment,1731100788.495508,77565,7,1
2,Payment,1731100788.495901,78736,10,1
2,Payment,1731100788.496280,76961,9,1
1,NewOrder,1731100788.496710,59038,2,1
1,NewOrder,1731100788.497106,56891,6,1
2,Payment,1731100788.497542,59779,11,1
1,NewOrder,1731100788.497916,27202,12,1
1,NewOrder,1731100788.498288,29883,5,1
1,NewOrder,1731100788.498813,54844,4,1
2,Payment,1731100788.499117,73823,13,1
2,Payment,1731100788.499512,58792,14,1
2,Payment,1731100788.499912,36418,15,1
2,Payment,1731100788.500283,54956,16,1
2,Payment,1731100788.500714,72023,18,1
2,Payment,1731100788.501112,71356,19,1
1,NewOrder,1731100788.501641,22012,17,1
2,Payment,1731100788.501911,70474,20,1
4,Delivery,1731100788.502294,39935,21,1
1,NewOrder,1731100788.502721,18496,23,1
1,NewOrder,1731100788.503123,21446,22,1
1,NewOrder,1731100788.503515,57034,24,1
2,Payment,1731100788.504113,68519,3,1
1,NewOrder,1731100788.504722,50846,26,1
1,NewOrder,1731100788.504857,18548,27,1
1,NewOrder,1731100788.505109,53428,28,1
2,Payment,1731100788.505513,69966,29,1
4,Delivery,1731100788.506641,79167,30,1
1,NewOrder,1731100788.506808,26727,31,1
1,NewOrder,1731100788.521329,43827,23,1
2,Payment,1731100788.522979,50164,1,1
2,Payment,1731100788.523427,48603,27,1
1,NewOrder,1731100788.523669,11379,17,1
1,NewOrder,1731100788.524592,54853,22,1
3,OrderStatus,1731100788.525140,8976,12,1
1,NewOrder,1731100788.528191,32910,5,1
3,OrderStatus,1731100788.533557,3395,31,1
5,StockLevel,1731100788.534255,6821,12,1
1,NewOrder,1731100788.535061,34457,17,1
1,NewOrder,1731100788.536349,12248,15,1
2,Payment,1731100788.536965,50659,31,1
1,NewOrder,1731100788.541093,8053,12,1
1,NewOrder,1731100788.542252,45724,21,1
2,Payment,1731100788.548724,38035,15,1
1,NewOrder,1731100788.549159,15464,12,1
2,Payment,1731100788.553683,35644,4,1
1,NewOrder,1731100788.554015,32471,6,1
3,OrderStatus,1731100788.555258,5689,16,1
1,NewOrder,1731100788.555590,43011,26,1
2,Payment,1731100788.555768,15005,2,1
2,Payment,1731100788.557362,39314,11,1
1,NewOrder,1731100788.558326,11975,14,1
1,NewOrder,1731100788.558556,41172,28,1
4,Delivery,1731100788.560570,56975,24,1
2,Payment,1731100788.560961,35980,16,1
1,NewOrder,1731100788.561111,35174,5,1
1,NewOrder,1731100788.564636,51086,12,1
1,NewOrder,1731100788.565167,55083,23,1
4,Delivery,1731100788.569531,68701,17,1
3,OrderStatus,1731100788.570317,2396,14,1
1,NewOrder,1731100788.570786,39811,2,1
5,StockLevel,1731100788.571483,7090,8,1
2,Payment,1731100788.571897,14128,25,1
1,NewOrder,1731100788.572041,31130,27,1
3,OrderStatus,1731100788.572321,11503,0,1
2,Payment,1731100788.572406,32443,20,1
3,OrderStatus,1731100788.572485,6223,19,1
5,StockLevel,1731100788.572651,8792,3,1
2,Payment,1731100788.572728,29932,14,1
1,NewOrder,1731100788.572755,30217,18,1
2,Payment,1731100788.572960,30111,13,1
2,Payment,1731100788.573087,30817,7,1
1,NewOrder,1731100788.573158,34569,1,1
1,NewOrder,1731100788.573257,34662,9,1
2,Payment,1731100788.574655,29798,10,1
2,Payment,1731100788.575503,28516,29,1
2,Payment,1731100788.578590,24682,8,1
1,NewOrder,1731100788.578718,32836,19,1
1,NewOrder,1731100788.579458,21242,22,1
2,Payment,1731100788.581459,22694,3,1
2,Payment,1731100788.583839,21120,0,1
2,Payment,1731100788.585833,49743,30,1
1,NewOrder,1731100788.586042,57349,25,1
2,Payment,1731100788.586499,8858,6,1
1,NewOrder,1731100788.586775,38326,15,1
1,NewOrder,1731100788.587641,13604,31,1
2,Payment,1731100788.587990,45341,21,1
2,Payment,1731100788.589341,45100,4,1
1,NewOrder,1731100788.595376,33237,6,1
1,NewOrder,1731100788.596298,47721,5,1
1,NewOrder,1731100788.596691,39930,11,1
1,NewOrder,1731100788.596954,40813,16,1
1,NewOrder,1731100788.598615,24717,26,1
1,NewOrder,1731100788.599741,41391,28,1
2,Payment,1731100788.600712,48664,22,1
1,NewOrder,1731100788.601258,33596,31,1
1,NewOrder,1731100788.602689,17233,14,1
1,NewOrder,1731100788.602988,15503,18,1
2,Payment,1731100788.603088,54875,13,1
4,Delivery,1731100788.603187,81706,27,1
2,Payment,1731100788.603283,54104,8,1
1,NewOrder,1731100788.603920,22000,7,1
1,NewOrder,1731100788.604037,18695,29,1
1,NewOrder,1731100788.604171,47830,3,1
1,NewOrder,1731100788.604465,31643,10,1
1,NewOrder,1731100788.604862,27037,20,1
2,Payment,1731100788.604969,54352,0,1
1,NewOrder,1731100788.607745,30261,1,1
2,Payment,1731100788.607959,53008,9,1
3,OrderStatus,1731100788.610611,16869,2,1
2,Payment,1731100788.611570,49332,19,1
4,Delivery,1731100788.615741,37686,12,1
2,Payment,1731100788.617559,51050,24,1
1,NewOrder,1731100788.618506,38241,18,1
1,NewOrder,1731100788.619940,40860,14,1
2,Payment,1731100788.620271,48671,23,1
2,Payment,1731100788.622746,46057,29,1
5,StockLevel,1731100788.623346,5125,26,1
2,Payment,1731100788.625115,44041,15,1
1,NewOrder,1731100788.625933,17071,7,1
2,Payment,1731100788.627497,47901,2,1
1,NewOrder,1731100788.628483,30270,26,1
1,NewOrder,1731100788.628621,14305,6,1
5,StockLevel,1731100788.631914,10574,20,1
2,Payment,1731100788.633350,34994,21,1
2,Payment,1731100788.634457,34290,4,1
2,Payment,1731100788.634866,33137,31,1
1,NewOrder,1731100788.635589,16892,30,1
1,NewOrder,1731100788.636122,33958,10,1
4,Delivery,1731100788.636635,58162,11,1
1,NewOrder,1731100788.637782,32832,16,1
1,NewOrder,1731100788.638018,30718,1,1
2,Payment,1731100788.638246,33167,17,1
2,Payment,1731100788.641147,7710,28,1
1,NewOrder,1731100788.642503,25405,20,1
5,StockLevel,1731100788.642939,5384,6,1
1,NewOrder,1731100788.643013,36568,7,1
2,Payment,1731100788.643405,27422,25,1
1,NewOrder,1731100788.644030,24396,5,1
4,Delivery,1731100788.648339,46189,6,1
5,StockLevel,1731100788.648870,11072,28,1
2,Payment,1731100788.649392,7511,22,1
2,Payment,1731100788.652015,24511,3,1
2,Payment,1731100788.652494,24812,30,1
1,NewOrder,1731100788.653440,24540,12,1
1,NewOrder,1731100788.656761,26949,18,1
5,StockLevel,1731100788.656922,6063,22,1
1,NewOrder,1731100788.657400,26109,8,1
1,NewOrder,1731100788.657979,24717,13,1
1,NewOrder,1731100788.658765,23756,26,1
2,Payment,1731100788.659334,24525,0,1
1,NewOrder,1731100788.659955,30046,28,1
2,Payment,1731100788.660816,23812,14,1
2,Payment,1731100788.660913,25479,19,1
2,Payment,1731100788.660980,21913,9,1
1,NewOrder,1731100788.663002,25193,22,1
1,NewOrder,1731100788.667928,26311,20,1
2,Payment,1731100788.668019,39927,31,1
2,Payment,1731100788.668358,6390,21,1
1,NewOrder,1731100788.668436,29033,5,1
1,NewOrder,1731100788.668619,17043,24,1
2,Payment,1731100788.668747,39116,1,1
1,NewOrder,1731100788.668763,28783,4,1
2,Payment,1731100788.668813,39105,29,1
1,NewOrder,1731100788.668952,25520,23,1
5,StockLevel,1731100788.669169,6730,15,1
2,Payment,1731100788.670094,38402,10,1
1,NewOrder,1731100788.670631,33277,16,1
1,NewOrder,1731100788.670842,24155,25,1
1,NewOrder,1731100788.671427,33557,17,1
1,NewOrder,1731100788.674764,31507,21,1
1,NewOrder,1731100788.675412,18568,2,1
1,NewOrder,1731100788.675911,35143,15,1
1,NewOrder,1731100788.676541,34766,3,1
1,NewOrder,1731100788.677503,11582,30,1
1,NewOrder,1731100788.677992,24540,12,1
1,NewOrder,1731100788.679601,14835,7,1
2,Payment,1731100788.682553,27007,26,1
2,Payment,1731100788.682710,40837,13,1
2,Payment,1731100788.682904,39974,9,1
2,Payment,1731100788.683521,39283,8,1
1,NewOrder,1731100788.683721,31515,18,1
2,Payment,1731100788.683871,39786,0,1
