Time (seconds),Requests,Throughput (requests/second),Minimum Latency (microseconds),25th Percentile Latency (microseconds),Median Latency (microseconds),Average Latency (microseconds),75th Percentile Latency (microseconds),90th Percentile Latency (microseconds),95th Percentile Latency (microseconds),99th Percentile Latency (microseconds),Maximum Latency (microseconds)
0,1601,1601.000,3,10918,17250,20155,26620,37844,45513,59779,87016
1,1194,1194.000,3,7535,13726,39374,20830,31422,41158,910410,1017538
2,1174,1174.000,2,8656,13216,14257,18296,24435,29592,45041,58674
3,2245,2245.000,2,8964,12790,14241,18539,25304,30273,39914,71464
4,2395,2395.000,1,8051,11876,13356,17387,24275,28987,37842,66035
5,2417,2417.000,1,8273,12282,13258,17155,23321,28283,33585,48390
6,2149,2149.000,1,8016,12170,27886,18229,24879,28963,988830,1013646
7,272,272.000,540,9007,12610,15257,21822,30039,33503,40263,40847
8,2361,2361.000,0,8170,12204,13500,17258,23223,27153,50800,62159
9,2432,2432.000,1,8348,11856,13162,16839,23424,27771,35728,63969
10,2340,2340.000,1,8309,12197,13639,18045,24288,28208,37332,87873
11,2321,2321.000,0,8337,12791,13819,18706,24306,28935,35901,61878
12,2331,2331.000,1,7947,12323,13724,18547,24807,29575,36829,65329
13,2375,2375.000,0,7754,12170,13464,18059,24773,28770,36816,57518
14,2386,2386.000,1,8222,11932,13398,17797,24589,28426,36324,51662
15,2320,2320.000,1,8310,12820,13799,18497,24289,29012,36666,49675
16,2381,2381.000,1,7826,12000,13519,18115,25605,28855,36416,46963
17,2432,2432.000,1,7887,11589,13053,17306,23837,28259,36084,60721
18,2420,2420.000,0,7889,11901,13226,17193,23854,27987,38506,64932
19,2406,2406.000,1,7684,11841,13115,17824,23223,27807,38487,67023
