Time (seconds),Requests,Throughput (requests/second),Minimum Latency (microseconds),25th Percentile Latency (microseconds),Median Latency (microseconds),Average Latency (microseconds),75th Percentile Latency (microseconds),90th Percentile Latency (microseconds),95th Percentile Latency (microseconds),99th Percentile Latency (microseconds),Maximum Latency (microseconds)
0,1104,1104.000,13,16419,25789,29181,38738,53632,67286,83919,114850
1,1378,1378.000,8,14136,21206,23124,29985,41521,47408,65320,75834
2,1426,1426.000,1,12159,19913,22510,30387,42153,49199,66875,88637
3,1617,1617.000,4,12252,17805,19658,25798,34096,41897,59420,78241
4,1639,1639.000,3,11338,17641,19594,25580,35799,42771,57710,94231
5,2115,2115.000,1,8176,13407,15070,20512,28914,33981,43477,57319
6,2340,2340.000,1,7596,11696,13715,18342,26519,32409,43051,56133
7,2396,2396.000,1,7676,11630,13278,17327,24514,29020,41362,65315
8,2118,2118.000,1,8324,12786,15146,20161,29668,34327,55856,69626
9,2596,2596.000,1,7926,11681,12302,15651,21622,25240,32476,50883
10,2405,2405.000,1,7656,11819,13263,17774,24491,28733,38923,58254
11,2591,2591.000,1,7799,11307,12376,15782,21974,26420,34941,50567
12,2480,2480.000,1,7408,11610,12976,17475,24982,27744,35045,50163
13,2477,2477.000,1,7426,11423,12832,16782,24283,27986,35679,52942
14,2440,2440.000,1,7277,11880,13149,17814,24335,28126,38735,75175
15,2396,2396.000,1,7334,12026,13718,17951,24802,29210,39290,1032682
16,141,141.000,390,5704,10607,230869,19743,1017464,1028645,1032705,1036875
17,2251,2251.000,5,8029,12076,13522,17505,25084,30743,37869,66483
18,2250,2250.000,2,7652,13040,14222,19454,26442,30958,39806,49489
19,2297,2297.000,1,8482,12415,13677,17964,24013,28900,38144,52415
