Time (seconds),Requests,Throughput (requests/second),Minimum Latency (microseconds),25th Percentile Latency (microseconds),Median Latency (microseconds),Average Latency (microseconds),75th Percentile Latency (microseconds),90th Percentile Latency (microseconds),95th Percentile Latency (microseconds),99th Percentile Latency (microseconds),Maximum Latency (microseconds)
0,1624,1624.000,2,10127,16759,19738,26305,38607,48069,64495,92465
1,1877,1877.000,2,5891,10878,13454,18647,27565,32424,41913,53644
2,1750,1750.000,2,3907,6074,7089,8902,12825,16156,25876,40170
3,1529,1529.000,2,2927,4994,26531,7584,11855,16335,997783,1014118
4,313,313.000,838,8237,14816,15912,22257,26951,34611,41927,55471
5,2319,2319.000,1,8238,12314,13893,17958,26150,30873,40830,65116
6,2429,2429.000,0,7413,11494,13114,17482,24177,27538,38307,79509
7,2160,2160.000,1,5602,10301,11840,16056,23031,27809,37141,64752
8,1750,1750.000,1,3001,4903,6344,7954,12490,16964,26391,37395
9,1750,1750.000,1,2827,4535,5241,6667,9746,12398,18549,30147
10,1750,1750.000,1,3047,5070,6763,8849,14151,17873,27362,38417
11,1734,1734.000,1,2932,4860,6798,7654,13465,22291,36404,63585
12,1766,1766.000,1,2518,4123,5390,6560,10477,13924,26548,33418
13,1750,1750.000,1,2560,4044,4832,6172,9111,11239,17915,24771
14,1750,1750.000,1,2406,3665,4368,5644,7844,9689,14927,44323
15,1750,1750.000,1,2610,4242,7385,8264,16030,21971,64002,77515
16,1743,1743.000,1,5283,8135,10540,13109,21337,27839,40609,70568
17,1757,1757.000,2,4548,6950,8328,10660,15580,19780,29170,61476
18,1750,1750.000,1,3853,6276,7658,9625,14633,19507,29801,40630
19,1746,1746.000,2,2705,4102,4709,6158,8774,10292,13194,19451
