Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,1418.600,16.250,0.002,4.594,8.245,16.026,26.262,32.976,56.242,1014.118,0.062
5,2081.600,10.562,0.000,4.432,8.663,14.523,21.700,26.541,36.604,79.509,0.095
10,1750.000,5.628,0.001,2.662,4.321,6.750,10.751,14.767,27.362,63.585,0.178
15,1749.200,7.724,0.001,3.382,5.887,9.509,15.377,20.747,35.072,77.515,0.129
