Time (seconds),Requests,Throughput (requests/second),Minimum Latency (microseconds),25th Percentile Latency (microseconds),Median Latency (microseconds),Average Latency (microseconds),75th Percentile Latency (microseconds),90th Percentile Latency (microseconds),95th Percentile Latency (microseconds),99th Percentile Latency (microseconds),Maximum Latency (microseconds)
0,1901,1901.000,5,6683,13700,16836,23199,33598,40686,70662,108363
1,1517,1517.000,2,4841,9393,32407,16355,23625,26645,1026218,1066603
2,1178,1178.000,2,5464,9777,12541,16727,25785,33517,49886,73733
3,3107,3107.000,1,4656,8548,10252,14484,20641,24567,30927,42097
4,3145,3145.000,2,4773,8460,10193,14421,20652,24041,29565,42906
5,2654,2654.000,1,3955,6009,7768,10241,15665,19477,27495,51374
6,2250,2250.000,3,3502,4975,5743,7024,10268,13391,19392,27800
7,2250,2250.000,3,3450,4953,5581,7063,10155,11983,17315,31239
8,2249,2249.000,3,3554,5126,6158,7650,10989,13937,23524,42515
9,2251,2251.000,3,3604,5338,6703,8311,12598,16663,27921,35810
10,2250,2250.000,3,3605,5371,6505,7769,11822,16249,26240,39828
11,2250,2250.000,2,3988,5556,7010,8821,13596,16565,27487,44684
12,2248,2248.000,3,3796,5252,6233,7523,11045,14220,24187,34244
13,2252,2252.000,3,3750,5357,6270,7772,11588,14608,22244,30702
14,2250,2250.000,3,3775,5213,5977,7544,10456,12900,19663,27872
15,2250,2250.000,3,3428,4960,5684,7088,9941,12424,19647,30594
16,2249,2249.000,2,3476,5196,6282,7966,11998,14997,22704,37419
17,2251,2251.000,3,3795,5430,6924,8513,13615,17696,26528,46221
18,2250,2250.000,2,3620,5212,6341,7936,12221,15142,23412,30360
19,2234,2234.000,1,3413,5058,5992,7472,11112,13829,22182,33080
