Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,89.800,1.884,0.391,0.783,1.072,1.919,3.835,5.554,10.368,44.685,0.531
5,99.800,0.771,0.361,0.535,0.634,0.808,1.118,1.554,3.735,4.776,1.297
10,91.000,0.805,0.405,0.546,0.646,0.813,1.128,1.567,3.957,6.743,1.242
15,87.200,0.747,0.361,0.492,0.570,0.752,1.150,1.518,3.604,6.864,1.338
