Time (seconds),Requests,Throughput (requests/second),Minimum Latency (microseconds),25th Percentile Latency (microseconds),Median Latency (microseconds),Average Latency (microseconds),75th Percentile Latency (microseconds),90th Percentile Latency (microseconds),95th Percentile Latency (microseconds),99th Percentile Latency (microseconds),Maximum Latency (microseconds)
0,1501,1501.000,4,9700,17329,21088,28173,41158,57120,75355,91549
1,1500,1500.000,4,4971,7506,8460,10838,14499,18976,27833,39287
2,1500,1500.000,3,4141,6051,6981,8641,12485,15827,23189,31699
3,1500,1500.000,5,3856,5696,6191,7983,10743,12515,17039,20663
4,1500,1500.000,2,3544,5296,5972,7800,10546,12952,17846,30240
5,1500,1500.000,3,3648,5269,6047,7305,10540,13238,21911,34369
6,1500,1500.000,3,3253,4956,5643,7107,10191,12461,16459,42255
7,1500,1500.000,3,3550,5163,5578,7015,9437,11836,16311,19682
8,1500,1500.000,4,3762,5514,6268,8248,11084,13058,18336,37638
9,1500,1500.000,4,3418,5439,5909,7502,10119,12777,19658,34520
10,1500,1500.000,3,3320,5118,6080,7493,10884,13772,25279,44761
11,1500,1500.000,4,3623,5468,5877,7628,10151,11951,15674,24352
12,1500,1500.000,4,3501,5167,5547,6957,9769,11643,15739,23451
13,1500,1500.000,4,3679,5395,6157,7827,11183,13551,19418,33645
14,1500,1500.000,4,3940,5559,6261,7567,10600,12625,24054,35177
15,1500,1500.000,2,3544,5337,5922,7579,10664,12690,18587,29972
16,1500,1500.000,2,3531,5148,5728,7469,9981,11980,16179,25910
17,1500,1500.000,4,3381,5152,5691,7546,10145,12668,15880,26406
18,1500,1500.000,4,3438,5091,5597,7082,9988,11495,16135,23891
19,1492,1492.000,3,3550,5029,5377,6692,9281,11112,14464,23944
