Transaction Type Index,Transaction Name,Start Time (microseconds),Latency (microseconds),Worker Id (start number),Phase Id (index in config file)
1,NewOrder,1731100986.180708,75202,1,1
1,NewOrder,1731100986.181255,76715,18,1
1,NewOrder,1731100986.182518,91549,22,1
2,Payment,1731100986.182574,75433,24,1
2,Payment,1731100986.182979,72398,16,1
1,NewOrder,1731100986.183631,71337,17,1
2,Payment,1731100986.184480,47990,15,1
5,StockLevel,1731100986.185670,31451,14,1
2,Payment,1731100986.185762,74181,13,1
1,NewOrder,1731100986.186680,68605,12,1
1,NewOrder,1731100986.186973,68501,11,1
1,NewOrder,1731100986.187728,74871,10,1
2,Payment,1731100986.188325,65472,9,1
5,StockLevel,1731100986.188965,28721,8,1
1,NewOrder,1731100986.189797,65838,7,1
2,Payment,1731100986.190301,65261,5,1
2,Payment,1731100986.190980,64021,6,1
2,Payment,1731100986.191640,62903,4,1
1,NewOrder,1731100986.192299,64532,0,1
1,NewOrder,1731100986.192972,66277,3,1
2,Payment,1731100986.193646,60574,2,1
5,StockLevel,1731100986.194318,23594,19,1
2,Payment,1731100986.194992,63261,21,1
2,Payment,1731100986.195648,63136,23,1
1,NewOrder,1731100986.196295,56028,25,1
2,Payment,1731100986.196995,62507,27,1
2,Payment,1731100986.197669,62053,28,1
2,Payment,1731100986.198332,59330,26,1
1,NewOrder,1731100986.198995,58622,30,1
2,Payment,1731100986.199638,57897,29,1
1,NewOrder,1731100986.200310,63025,31,1
2,Payment,1731100986.217229,39471,14,1
1,NewOrder,1731100986.217723,36652,8,1
1,NewOrder,1731100986.217940,41369,19,1
2,Payment,1731100986.232505,12477,15,1
2,Payment,1731100986.245005,43584,15,1
1,NewOrder,1731100986.252362,34890,25,1
1,NewOrder,1731100986.253827,33294,9,1
1,NewOrder,1731100986.254247,32484,2,1
1,NewOrder,1731100986.254394,32984,8,1
1,NewOrder,1731100986.254565,31323,4,1
3,OrderStatus,1731100986.254996,13193,17,1
1,NewOrder,1731100986.255026,22273,6,1
4,Delivery,1731100986.255306,38727,12,1
2,Payment,1731100986.255398,13094,16,1
1,NewOrder,1731100986.255492,46302,11,1
1,NewOrder,1731100986.255651,38219,7,1
2,Payment,1731100986.255929,35663,1,1
1,NewOrder,1731100986.256079,33362,5,1
3,OrderStatus,1731100986.256717,10841,14,1
2,Payment,1731100986.256856,35308,0,1
2,Payment,1731100986.257119,33230,20,1
1,NewOrder,1731100986.257560,33842,29,1
2,Payment,1731100986.257643,35726,30,1
2,Payment,1731100986.257687,32349,26,1
2,Payment,1731100986.257990,31744,18,1
2,Payment,1731100986.258030,32940,24,1
2,Payment,1731100986.258289,32402,21,1
1,NewOrder,1731100986.258804,34698,23,1
2,Payment,1731100986.259280,32787,3,1
1,NewOrder,1731100986.259329,26397,19,1
2,Payment,1731100986.259521,30576,27,1
2,Payment,1731100986.259741,40361,28,1
1,NewOrder,1731100986.259960,28986,13,1
2,Payment,1731100986.262624,24909,10,1
1,NewOrder,1731100986.263359,42010,31,1
1,NewOrder,1731100986.267577,26130,14,1
1,NewOrder,1731100986.268205,30710,17,1
2,Payment,1731100986.268511,7707,16,1
1,NewOrder,1731100986.274096,46435,22,1
2,Payment,1731100986.276236,23543,16,1
2,Payment,1731100986.277315,31737,6,1
2,Payment,1731100986.285756,22537,19,1
3,OrderStatus,1731100986.285908,7962,4,1
2,Payment,1731100986.286752,22550,2,1
2,Payment,1731100986.287138,21765,9,1
2,Payment,1731100986.287274,9560,25,1
2,Payment,1731100986.287396,18628,8,1
1,NewOrder,1731100986.287546,33709,10,1
1,NewOrder,1731100986.288606,27720,15,1
1,NewOrder,1731100986.288960,29817,13,1
2,Payment,1731100986.289455,31759,5,1
2,Payment,1731100986.289749,27016,18,1
1,NewOrder,1731100986.290049,59211,26,1
2,Payment,1731100986.290113,27700,27,1
2,Payment,1731100986.290363,27616,20,1
2,Payment,1731100986.290988,26909,24,1
1,NewOrder,1731100986.291195,30818,21,1
2,Payment,1731100986.291416,27460,29,1
1,NewOrder,1731100986.291607,44410,1,1
2,Payment,1731100986.292081,30068,3,1
2,Payment,1731100986.292181,26849,0,1
2,Payment,1731100986.293385,24236,30,1
2,Payment,1731100986.293519,25312,23,1
1,NewOrder,1731100986.293719,29282,14,1
2,Payment,1731100986.293887,27827,4,1
1,NewOrder,1731100986.293889,23910,7,1
2,Payment,1731100986.294045,26078,12,1
4,Delivery,1731100986.296851,34202,25,1
2,Payment,1731100986.298933,56429,17,1
1,NewOrder,1731100986.299795,32688,16,1
2,Payment,1731100986.300119,56750,28,1
2,Payment,1731100986.301811,57120,11,1
1,NewOrder,1731100986.305388,14232,31,1
1,NewOrder,1731100986.306039,37398,8,1
2,Payment,1731100986.308311,70580,19,1
1,NewOrder,1731100986.308919,45679,9,1
2,Payment,1731100986.309069,71552,6,1
2,Payment,1731100986.309318,68471,2,1
1,NewOrder,1731100986.316344,40624,15,1
1,NewOrder,1731100986.316781,13689,18,1
2,Payment,1731100986.317638,50299,30,1
2,Payment,1731100986.317811,64848,7,1
1,NewOrder,1731100986.317831,20479,27,1
2,Payment,1731100986.317912,68066,24,1
2,Payment,1731100986.317989,58709,20,1
1,NewOrder,1731100986.318794,22782,13,1
1,NewOrder,1731100986.318848,16136,23,1
1,NewOrder,1731100986.318891,17877,29,1
1,NewOrder,1731100986.319044,44496,0,1
2,Payment,1731100986.319762,66713,31,1
2,Payment,1731100986.320137,66118,12,1
1,NewOrder,1731100986.320545,15255,22,1
2,Payment,1731100986.321231,54195,5,1
1,NewOrder,1731100986.321276,13160,10,1
2,Payment,1731100986.321731,60438,4,1
2,Payment,1731100986.322035,68333,21,1
2,Payment,1731100986.322160,69560,3,1
2,Payment,1731100986.323018,67473,14,1
1,NewOrder,1731100986.330487,10194,18,1
1,NewOrder,1731100986.331067,26034,25,1
2,Payment,1731100986.332502,57547,16,1
2,Payment,1731100986.334451,58654,10,1
1,NewOrder,1731100986.334997,8922,23,1
2,Payment,1731100986.335815,57152,22,1
1,NewOrder,1731100986.336029,14197,1,1
1,NewOrder,1731100986.336783,8079,29,1
1,NewOrder,1731100986.338326,10285,27,1
1,NewOrder,1731100986.340695,14533,18,1
