Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,6.400,2.970,2.001,2.584,2.881,3.227,3.673,4.305,4.390,4.390,0.337
5,10.600,2.735,1.420,2.226,2.501,2.916,3.838,4.086,6.559,6.559,0.366
10,9.600,2.513,1.641,2.093,2.475,2.689,3.266,3.305,5.096,5.096,0.398
15,8.800,2.214,1.095,1.939,2.226,2.537,2.751,2.836,3.583,3.583,0.452
