Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,10.000,20.993,0.012,10.306,16.937,26.497,47.939,52.928,71.419,71.419,0.048
5,8.400,15.158,0.015,7.625,13.278,18.434,27.511,31.053,64.630,64.630,0.066
10,11.000,12.043,0.009,6.622,10.488,16.597,22.795,29.835,41.699,41.699,0.083
15,10.400,9.739,0.012,6.379,10.767,12.768,16.555,18.384,22.774,22.774,0.103
