Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,11.400,5.547,2.983,4.267,5.394,6.356,7.615,9.467,11.541,11.541,0.180
5,7.200,5.047,2.054,3.934,5.281,5.774,6.506,8.323,12.212,12.212,0.198
10,10.800,4.014,2.316,3.329,3.834,4.502,4.996,5.492,9.348,9.348,0.249
15,9.800,4.290,2.833,3.658,4.154,4.823,5.458,5.757,6.440,6.440,0.233
