Time (seconds),Requests,Throughput (requests/second),Minimum Latency (microseconds),25th Percentile Latency (microseconds),Median Latency (microseconds),Average Latency (microseconds),75th Percentile Latency (microseconds),90th Percentile Latency (microseconds),95th Percentile Latency (microseconds),99th Percentile Latency (microseconds),Maximum Latency (microseconds)
0,251,251.000,53,7593,11911,19440,22934,45517,67039,92458,131901
1,250,250.000,16,5179,7036,8063,9079,12757,15540,28239,67911
2,250,250.000,12,4308,5664,7345,8758,11528,14517,34190,48548
3,250,250.000,2173,3456,5742,6801,9015,11783,15010,24856,27161
4,250,250.000,2068,3617,6539,11166,10339,24215,44006,76157,93662
5,250,250.000,2025,3331,5832,6899,9056,11997,15578,25520,26922
6,250,250.000,2093,3212,6199,6832,9503,12023,13792,21627,33611
7,250,250.000,15,3184,6087,7595,9796,14870,18455,31587,37595
8,250,250.000,1930,3032,5567,6330,8520,10550,12645,21938,31673
9,250,250.000,1420,2943,4353,6163,7517,11648,15116,27660,64630
10,250,250.000,1748,3024,5425,6410,8294,11934,15190,19562,28127
11,250,250.000,11,2984,4160,5832,7281,10801,15275,21524,29835
12,250,250.000,10,2905,4413,5293,7231,9262,10960,16016,24139
13,250,250.000,9,2850,4242,5564,7187,9871,11975,24962,41699
14,250,250.000,12,2895,4789,6294,7697,11053,15518,32960,45401
15,250,250.000,13,2937,4239,6151,7966,11614,15334,22720,29256
16,250,250.000,12,2850,4482,5775,7955,11030,11874,19100,23176
17,250,250.000,15,2862,4617,5564,8025,10209,11321,14375,17391
18,250,250.000,12,2839,3801,5305,6966,9778,10896,16613,20389
19,249,249.000,13,2978,5157,6042,8185,11362,12938,18384,22774
