Time (seconds),Requests,Throughput (requests/second),Minimum Latency (microseconds),25th Percentile Latency (microseconds),Median Latency (microseconds),Average Latency (microseconds),75th Percentile Latency (microseconds),90th Percentile Latency (microseconds),95th Percentile Latency (microseconds),99th Percentile Latency (microseconds),Maximum Latency (microseconds)
0,751,751.000,16,7539,13374,23430,28837,57530,70682,133907,159006
1,750,750.000,1156,4360,6416,7868,9569,14565,18223,28944,42247
2,750,750.000,11,3056,4791,5333,6557,9160,11397,17063,19626
3,750,750.000,10,2600,4405,4844,5989,8253,10291,14479,22986
4,750,750.000,11,2325,3820,4413,5657,8401,10232,12398,16083
5,750,750.000,7,1880,2988,3445,4463,5936,7520,10187,23850
6,750,750.000,9,1881,3204,3543,4628,5939,7686,10654,20186
7,750,750.000,4,1731,2905,3227,4212,5272,6522,9288,12260
8,750,750.000,6,1753,2714,3103,4075,5196,6132,9247,10674
9,750,750.000,3,1661,2857,3326,4323,5602,7924,11450,18655
10,750,750.000,3,1832,2894,3263,4281,5251,6337,8785,24385
11,750,750.000,2,1725,2891,3336,4404,5754,7506,11167,15015
12,750,750.000,3,1659,2672,3180,4177,5409,7227,10026,16546
13,750,750.000,2,1615,2784,3159,4198,5250,6938,8745,11733
14,750,750.000,4,1583,2646,3093,4091,5316,6436,9284,21787
15,750,750.000,4,1579,2480,3067,4128,5256,6916,9302,13039
16,750,750.000,4,1694,2850,3267,4387,5536,6755,9543,15168
17,750,750.000,4,1655,2873,3296,4312,5870,7145,9362,16779
18,750,750.000,3,1615,2790,3227,4281,5541,7354,9920,16989
19,748,748.000,486,1657,2743,3330,4389,5746,7598,11844,24750
