Transaction Type Index,Transaction Name,Start Time (microseconds),Latency (microseconds),Worker Id (start number),Phase Id (index in config file)
2,Payment,1731101597.121228,31933,0,1
1,NewOrder,1731101597.121230,66582,2,1
1,NewOrder,1731101597.121230,70402,1,1
1,NewOrder,1731101597.121231,83737,31,1
2,Payment,1731101597.121288,71079,3,1
2,Payment,1731101597.121426,69771,5,1
2,Payment,1731101597.121716,72861,7,1
2,Payment,1731101597.122115,56079,9,1
1,NewOrder,1731101597.122508,72028,10,1
1,NewOrder,1731101597.122911,66924,4,1
1,NewOrder,1731101597.123303,59079,6,1
4,Delivery,1731101597.123709,92263,11,1
1,NewOrder,1731101597.124097,70142,8,1
1,NewOrder,1731101597.124550,67831,12,1
1,NewOrder,1731101597.124901,68806,13,1
1,NewOrder,1731101597.126102,60535,14,1
1,NewOrder,1731101597.126308,70702,15,1
1,NewOrder,1731101597.126995,46137,16,1
4,Delivery,1731101597.127272,62880,18,1
2,Payment,1731101597.127288,65826,17,1
5,StockLevel,1731101597.127393,17048,19,1
1,NewOrder,1731101597.127741,67032,20,1
1,NewOrder,1731101597.128133,69255,21,1
1,NewOrder,1731101597.128516,60534,22,1
1,NewOrder,1731101597.128925,42444,23,1
2,Payment,1731101597.129309,63256,24,1
5,StockLevel,1731101597.129704,14660,25,1
2,Payment,1731101597.132033,60135,26,1
1,NewOrder,1731101597.132205,65906,30,1
2,Payment,1731101597.132418,62664,29,1
3,OrderStatus,1731101597.132523,38264,28,1
1,NewOrder,1731101597.132537,55773,27,1
2,Payment,1731101597.144535,48206,19,1
2,Payment,1731101597.144537,49806,25,1
1,NewOrder,1731101597.153205,40859,0,1
2,Payment,1731101597.170838,35512,28,1
1,NewOrder,1731101597.171409,47731,23,1
1,NewOrder,1731101597.173160,89323,16,1
2,Payment,1731101597.178232,11352,9,1
1,NewOrder,1731101597.182421,62663,6,1
2,Payment,1731101597.186672,31414,14,1
1,NewOrder,1731101597.187850,34663,2,1
2,Payment,1731101597.188347,28990,27,1
1,NewOrder,1731101597.189085,33886,22,1
