Time (seconds),Requests,Throughput (requests/second),Minimum Latency (microseconds),25th Percentile Latency (microseconds),Median Latency (microseconds),Average Latency (microseconds),75th Percentile Latency (microseconds),90th Percentile Latency (microseconds),95th Percentile Latency (microseconds),99th Percentile Latency (microseconds),Maximum Latency (microseconds)
0,1305,1305.000,3,11261,21518,24652,33993,47731,60823,77855,92263
1,1917,1917.000,1,7917,14439,16752,24023,32661,38677,47727,70647
2,2035,2035.000,3,7416,13742,15639,22171,29600,36263,45674,65215
3,2221,2221.000,4,7489,12240,14392,19478,27921,32982,41906,70703
4,2176,2176.000,2,7524,13138,14738,20347,27594,32845,42576,62673
5,2880,2880.000,2,5642,9652,11022,15174,20951,24929,34407,49750
6,3146,3146.000,2,4848,8632,10183,14601,20396,22766,28439,39166
7,3292,3292.000,2,4873,8200,9748,13326,18977,23139,31330,49669
8,2995,2995.000,1,4640,8328,10652,14231,21382,25973,49895,87636
9,3038,3038.000,1,4366,7201,8603,11423,16474,20542,29477,46364
10,2500,2500.000,2,3935,5951,6854,8742,13113,16122,21643,33344
11,2500,2500.000,2,3857,5629,6619,8297,12328,15302,23955,31915
12,2500,2500.000,3,3858,5596,6686,8436,12401,16147,24479,43185
13,2500,2500.000,2,3705,5494,6352,7844,11117,14206,26705,40571
14,2259,2259.000,3,3950,5660,21394,8657,13361,16745,1033230,1065882
15,123,123.000,874,11153,18788,20965,28070,38778,40969,77159,85672
16,3149,3149.000,3,4855,8740,10094,14362,19930,22587,28843,47353
17,3373,3373.000,2,4538,7724,9494,12950,19412,23127,31072,51918
18,1998,1998.000,2,4718,7675,24988,12322,18636,23849,999171,1025399
19,1213,1213.000,2,5384,9141,11230,15218,22207,27968,39694,51761
