Time (seconds),Requests,Throughput (requests/second),Minimum Latency (microseconds),25th Percentile Latency (microseconds),Median Latency (microseconds),Average Latency (microseconds),75th Percentile Latency (microseconds),90th Percentile Latency (microseconds),95th Percentile Latency (microseconds),99th Percentile Latency (microseconds),Maximum Latency (microseconds)
0,1775,1775.000,2,7329,14625,18034,24038,33075,45420,83587,118261
1,2226,2226.000,3,4390,6958,8965,11511,18620,23042,31980,51593
2,2000,2000.000,3,3590,5122,5982,7474,10679,13447,20155,34326
3,1988,1988.000,2,3700,5219,6022,7482,10564,13127,21119,38535
4,2012,2012.000,2,3115,4679,5338,6527,9080,11700,20891,36980
5,2000,2000.000,2,3408,4745,5267,6496,9174,10945,15603,26748
6,2000,2000.000,3,3134,4549,5251,6354,9417,11634,19750,26202
7,2000,2000.000,4,3101,4468,4927,6230,8609,10573,14283,20199
8,2000,2000.000,1,2955,4317,4700,5868,8114,9663,13755,19422
9,2000,2000.000,1,2950,4306,4885,6191,8791,10687,16297,21547
10,2000,2000.000,2,3073,4360,4808,5850,8404,10449,14749,33851
11,2000,2000.000,1,3075,4610,5250,6526,9411,11371,18749,37629
12,2000,2000.000,3,3353,5084,7897,8182,15903,21045,79362,126989
13,2000,2000.000,1,3275,4713,5154,6514,8756,10606,15563,27550
14,2000,2000.000,3,3236,4556,4916,6072,8448,10085,14917,29292
15,2000,2000.000,2,3333,4731,5188,6422,8873,10966,15563,28210
16,2000,2000.000,3,3360,4707,5210,6386,9077,11485,15901,28355
17,2000,2000.000,2,3380,4780,6156,6768,9936,13539,51655,69810
18,2000,2000.000,3,3098,4510,4781,5850,7931,9658,14112,24811
19,1986,1986.000,2,3483,4808,5701,6985,10372,13806,19881,30540
