Transaction Type Index,Transaction Name,Start Time (microseconds),Latency (microseconds),Worker Id (start number),Phase Id (index in config file)
3,OrderStatus,1731101531.647369,36248,0,1
2,Payment,1731101531.647426,43957,1,1
1,NewOrder,1731101531.647906,72820,2,1
1,NewOrder,1731101531.648408,85282,3,1
2,Payment,1731101531.648922,72667,4,1
2,Payment,1731101531.649402,73707,6,1
2,Payment,1731101531.649927,72967,8,1
1,NewOrder,1731101531.650402,72016,7,1
1,NewOrder,1731101531.650889,91354,9,1
1,NewOrder,1731101531.651405,70385,11,1
1,NewOrder,1731101531.653075,58575,10,1
2,Payment,1731101531.653101,68349,13,1
1,NewOrder,1731101531.653113,72687,12,1
1,NewOrder,1731101531.653418,70546,14,1
1,NewOrder,1731101531.653919,64092,15,1
2,Payment,1731101531.654402,68160,16,1
5,StockLevel,1731101531.654909,41823,17,1
2,Payment,1731101531.655396,69482,18,1
1,NewOrder,1731101531.656142,83587,19,1
1,NewOrder,1731101531.656405,118261,20,1
2,Payment,1731101531.656895,66419,21,1
2,Payment,1731101531.657753,65309,22,1
1,NewOrder,1731101531.657927,74194,23,1
5,StockLevel,1731101531.658418,33659,25,1
2,Payment,1731101531.658912,63472,24,1
2,Payment,1731101531.659401,65041,26,1
2,Payment,1731101531.659910,61178,27,1
2,Payment,1731101531.660395,65930,28,1
2,Payment,1731101531.660924,68390,29,1
1,NewOrder,1731101531.661398,110471,30,1
1,NewOrder,1731101531.661907,111656,31,1
5,StockLevel,1731101531.683723,17208,0,1
1,NewOrder,1731101531.691418,68226,1,1
2,Payment,1731101531.692110,18199,25,1
2,Payment,1731101531.696759,43057,17,1
3,OrderStatus,1731101531.700948,13540,0,1
2,Payment,1731101531.710329,91182,25,1
1,NewOrder,1731101531.711678,46467,10,1
1,NewOrder,1731101531.714505,56599,0,1
1,NewOrder,1731101531.718041,58808,15,1
1,NewOrder,1731101531.720754,38618,2,1
1,NewOrder,1731101531.721117,49091,27,1
1,NewOrder,1731101531.721475,42506,13,1
1,NewOrder,1731101531.721612,28537,4,1
2,Payment,1731101531.721814,99982,11,1
1,NewOrder,1731101531.722409,25098,24,1
2,Payment,1731101531.722442,101255,7,1
1,NewOrder,1731101531.722580,16054,16,1
4,Delivery,1731101531.722920,16366,8,1
2,Payment,1731101531.723084,98737,22,1
2,Payment,1731101531.723128,102330,6,1
2,Payment,1731101531.723331,100451,21,1
3,OrderStatus,1731101531.723985,16164,14,1
2,Payment,1731101531.724468,97004,26,1
1,NewOrder,1731101531.724906,57321,18,1
2,Payment,1731101531.725828,97783,12,1
5,StockLevel,1731101531.726347,9514,28,1
2,Payment,1731101531.729342,93911,29,1
1,NewOrder,1731101531.732149,48880,23,1
1,NewOrder,1731101531.733714,53615,3,1
2,Payment,1731101531.735881,88202,28,1
2,Payment,1731101531.738653,86904,16,1
5,StockLevel,1731101531.739300,5378,8,1
1,NewOrder,1731101531.739753,26074,19,1
