Time (seconds),Requests,Throughput (requests/second),Minimum Latency (microseconds),25th Percentile Latency (microseconds),Median Latency (microseconds),Average Latency (microseconds),75th Percentile Latency (microseconds),90th Percentile Latency (microseconds),95th Percentile Latency (microseconds),99th Percentile Latency (microseconds),Maximum Latency (microseconds)
0,1631,1631.000,3,9862,17035,19648,26934,37040,45035,65152,77397
1,2134,2134.000,0,9262,13402,14955,19340,26419,31396,42800,54968
2,2236,2236.000,0,8223,12363,13546,17786,24100,28277,38774,62459
3,1991,1991.000,1,6001,9172,11086,14634,21338,25465,35970,66419
4,1474,1474.000,1,4415,6692,28494,9819,13609,17404,985020,1010488
5,730,730.000,2,8156,12232,13893,18734,25656,31582,36176,50102
6,2296,2296.000,1,8004,12473,13891,18542,25368,29962,38151,91692
7,2453,2453.000,0,7894,11849,13003,17077,23037,27025,37033,60666
8,2300,2300.000,1,8325,12376,13920,18222,25779,29692,39727,53853
9,2275,2275.000,1,8019,12075,14518,17736,24064,28516,117845,142444
10,2216,2216.000,1,8292,12649,14019,19018,25954,29024,35204,63437
11,2265,2265.000,1,6727,11167,12581,16609,23987,28830,36817,82520
12,2000,2000.000,1,4439,6346,7661,9757,14187,18032,26765,35661
13,2000,2000.000,1,4048,6459,7692,9845,14523,18583,27082,47186
14,2000,2000.000,1,4027,6221,7811,9978,15845,19530,28517,35933
15,2000,2000.000,1,4824,8223,10601,13888,21627,28045,41302,54320
16,2000,2000.000,1,4400,6444,7519,9354,13740,17058,27934,43186
17,2000,2000.000,1,4218,6700,8042,10304,16049,19745,27051,46101
18,2000,2000.000,1,4323,7317,8748,11470,17415,21347,32780,42796
19,1972,1972.000,0,4988,7960,9828,13152,18872,24787,34586,45951
