Time (seconds),Requests,Throughput (requests/second),Minimum Latency (microseconds),25th Percentile Latency (microseconds),Median Latency (microseconds),Average Latency (microseconds),75th Percentile Latency (microseconds),90th Percentile Latency (microseconds),95th Percentile Latency (microseconds),99th Percentile Latency (microseconds),Maximum Latency (microseconds)
0,251,251.000,23,4399,6522,9652,10553,19215,30406,50173,80767
1,250,250.000,1620,3764,5172,5990,7420,9177,11674,18430,24533
2,250,250.000,1566,3212,4907,5658,6648,10213,13361,19006,23402
3,250,250.000,1625,3061,4610,5260,6773,8641,10771,13693,24770
4,250,250.000,22,2981,4345,5225,6993,9032,10518,13508,16858
5,250,250.000,16,3066,4872,6039,7752,10468,12178,20889,41163
6,250,250.000,9,2920,4869,7833,7767,11086,18503,74246,92562
7,250,250.000,14,2782,4206,6938,6511,10180,20736,63021,74651
8,250,250.000,1625,2540,4314,5194,7023,9636,11067,15695,21698
9,250,250.000,12,2847,4439,5377,7341,9359,9987,16012,19105
10,250,250.000,12,2824,4084,5164,7092,9454,10693,13630,16446
11,250,250.000,1563,2703,3932,5230,7421,9894,10852,15140,20452
12,250,250.000,1785,2866,4512,5336,7617,9885,10637,13047,14074
13,250,250.000,15,2896,4511,5327,7372,9647,11078,13899,15182
14,250,250.000,1237,2857,5142,5568,7271,9592,10477,16041,26337
15,250,250.000,1492,2670,4295,5047,6658,8789,10844,18280,20592
16,250,250.000,11,2768,4096,5061,6797,8842,10726,15553,15729
17,250,250.000,1798,2725,4010,4828,6384,8553,9586,10765,17113
18,250,250.000,12,2800,4254,5078,6862,8898,10109,18351,19467
19,249,249.000,7,2661,4117,4963,6899,9220,10437,12392,16336
