Time (seconds),Requests,Throughput (requests/second),Minimum Latency (microseconds),25th Percentile Latency (microseconds),Median Latency (microseconds),Average Latency (microseconds),75th Percentile Latency (microseconds),90th Percentile Latency (microseconds),95th Percentile Latency (microseconds),99th Percentile Latency (microseconds),Maximum Latency (microseconds)
0,1522,1522.000,4,9811,18793,20975,27912,40543,47201,68224,122193
1,2054,2054.000,3,8246,14184,15640,21066,29647,34964,43804,65680
2,2127,2127.000,1,8173,13441,15007,20180,28196,32850,42999,56253
3,2151,2151.000,3,7998,13059,14913,20526,27804,33163,44584,66424
4,1514,1514.000,2,8075,13386,35712,19914,28116,36632,1020461,1030482
5,644,644.000,4,8789,13869,15318,21249,27848,34157,40728,54294
6,2254,2254.000,4,8116,13069,14146,19325,25226,29426,36395,55979
7,2279,2279.000,4,7905,12423,14144,18771,27149,31923,40728,74844
8,2414,2414.000,3,7888,12153,13164,17865,23681,27204,34039,48333
9,2287,2287.000,2,8724,12531,13939,18159,24999,29356,40910,77249
10,2319,2319.000,2,7905,12300,13908,18201,26962,32720,40444,61192
11,2229,2229.000,2,8298,12926,14292,19086,25594,30750,44283,65596
12,1956,1956.000,2,8451,12302,16340,17915,25986,34912,155449,202762
13,2199,2199.000,3,8265,13262,14684,19650,26540,32265,44310,81062
14,2053,2053.000,3,6218,9677,11056,14455,20629,24548,33245,73748
15,2000,2000.000,3,5249,7678,8747,11046,16129,19892,27267,33378
16,1984,1984.000,3,7235,11904,13997,18992,27194,32955,41595,55975
17,2016,2016.000,2,6963,10809,12226,16167,22766,26448,35513,87275
18,1999,1999.000,2,6677,10272,11626,15328,21889,25393,32628,45085
19,1961,1961.000,3,6549,10659,12560,16242,24947,30072,41014,78086
