Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,795.400,27.869,1.309,13.175,19.630,27.395,35.603,41.923,64.508,1030.482,0.036
5,852.200,17.099,1.281,11.474,15.858,22.412,28.332,32.366,38.720,47.565,0.058
10,920.200,17.279,1.353,10.559,15.129,21.962,29.864,34.731,45.498,202.762,0.058
15,843.200,14.074,1.391,7.326,11.579,19.546,26.876,31.426,40.740,55.975,0.071
