Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,9.800,4.697,0.004,2.911,4.473,6.642,8.761,9.556,10.833,10.833,0.213
5,8.800,3.254,0.003,2.302,3.105,4.581,5.187,5.496,8.451,8.451,0.307
10,11.200,3.085,0.004,2.246,3.129,4.100,4.894,5.230,5.936,5.936,0.324
15,9.200,2.623,0.003,1.719,2.448,3.496,4.432,4.470,4.791,4.791,0.381
