Time (seconds),Requests,Throughput (requests/second),Minimum Latency (microseconds),25th Percentile Latency (microseconds),Median Latency (microseconds),Average Latency (microseconds),75th Percentile Latency (microseconds),90th Percentile Latency (microseconds),95th Percentile Latency (microseconds),99th Percentile Latency (microseconds),Maximum Latency (microseconds)
0,251,251.000,970,2048,2902,5070,4404,9544,13868,47126,51632
1,250,250.000,5,1540,1906,2304,2970,3713,4003,6642,7641
2,250,250.000,832,1361,2100,2239,2833,3436,3813,8066,8837
3,250,250.000,4,1158,1660,2068,2564,3174,3683,11050,18403
4,250,250.000,652,1195,1846,2021,2773,3382,3707,4771,4982
5,250,250.000,697,1198,1880,2058,2763,3268,3581,5049,6755
6,250,250.000,5,1105,1717,1905,2541,3179,3385,3935,10059
7,250,250.000,3,1059,1523,1844,2520,3067,3250,4728,8451
8,250,250.000,661,1069,1867,1958,2585,3214,3365,5187,7997
9,250,250.000,4,1088,1616,1916,2646,3211,3481,4231,4741
10,250,250.000,668,1284,1998,2155,2861,3358,3754,5071,5936
11,250,250.000,4,1049,1473,1841,2603,3138,3493,4122,4892
12,250,250.000,4,974,1630,1748,2499,3029,3117,3374,4824
13,250,250.000,4,1000,1792,4705,2752,6041,31428,47319,63822
14,250,250.000,541,1007,1884,1843,2527,2969,3153,3513,4450
15,250,250.000,491,968,1510,1724,2443,2947,3160,4138,5487
16,250,250.000,4,971,1362,1661,2295,2833,3050,4077,4791
17,250,250.000,4,966,1360,1658,2314,2919,3061,3957,4470
18,250,250.000,459,949,1244,1724,2384,2936,3116,4435,12190
19,250,250.000,3,983,1325,1645,2234,2919,3096,3261,4467
