Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,41.000,2.905,0.773,1.512,2.376,3.403,5.064,7.316,11.844,14.868,0.344
5,42.200,1.906,0.468,1.091,1.865,2.373,3.097,3.594,4.975,5.140,0.525
10,39.400,1.300,0.483,0.695,0.856,1.375,2.821,3.510,6.406,8.947,0.769
15,40.600,0.851,0.430,0.599,0.686,0.839,1.339,1.899,2.650,3.694,1.176
