Time (seconds),Requests,Throughput (requests/second),Minimum Latency (microseconds),25th Percentile Latency (microseconds),Median Latency (microseconds),Average Latency (microseconds),75th Percentile Latency (microseconds),90th Percentile Latency (microseconds),95th Percentile Latency (microseconds),99th Percentile Latency (microseconds),Maximum Latency (microseconds)
0,1001,1001.000,7,10169,17799,23950,31206,48872,66105,98095,114333
1,1000,1000.000,5,5439,9092,10532,13170,19962,24882,37664,58381
2,1000,1000.000,4,5208,8442,12118,12958,20472,30245,85289,92245
3,1000,1000.000,5,4543,6832,7456,9805,12972,15160,20409,31132
4,1000,1000.000,5,4212,6212,7046,8965,12638,15306,20779,40801
5,1000,1000.000,4,3942,6138,6887,8809,12393,15378,20326,30929
6,1000,1000.000,6,3965,5962,6380,8177,10623,12824,17436,33172
7,945,945.000,3,4408,6761,15959,12811,23780,45967,206958,225012
8,1055,1055.000,4,3927,5960,7445,8765,14814,20213,28294,45847
9,1000,1000.000,3,4367,6859,8562,10553,15412,20488,44678,63232
10,1000,1000.000,3,6464,10574,12192,15523,23727,28640,40078,58529
11,1000,1000.000,3,4088,7312,9797,13050,20463,27148,39558,50213
12,1000,1000.000,3,2236,3705,4243,5411,8089,9585,12494,21184
13,1000,1000.000,3,2261,3696,4233,5284,7795,9582,12845,25402
14,1000,1000.000,4,2250,3658,4115,5101,7344,9173,13102,20538
15,1000,1000.000,4,2598,4466,11921,9831,19739,42774,163033,177088
16,1000,1000.000,3,2219,3549,3966,4932,7408,8968,11595,14671
17,744,744.000,3,2064,3799,17004,4973,8462,12388,321264,332294
18,1256,1256.000,3,2871,5314,9690,14921,24078,28890,42208,49731
19,995,995.000,3,1996,3319,3740,4767,6559,8536,11476,16732
