Rate,Throughput (requests/second),Goodput (requests/second),Median Latency (microseconds),99th Percentile Latency (microseconds)
1000,999.7062832441163,697.919480260296,5777,56649
1250,1249.8567150247382,876.7196374893504,4991,40240
1500,1499.658390853202,869.4758757397207,5536,38513
1750,1749.9413096164624,1064.094715599233,4985,32888
2000,1999.3089558865483,1141.2765705620914,4820,29172
2250,2249.26590967602,1072.833739917271,5713,31660
250,249.95131113426967,244.25242124040835,5538,41699
2500,2355.9574292628276,951.7328027592938,8002,41634
500,499.95344133582216,477.95548991704595,3859,26705
750,749.9040249215353,633.9111362077568,5284,39466
