Transaction Type Index,Transaction Name,Start Time (microseconds),Latency (microseconds),Worker Id (start number),Phase Id (index in config file)
2,Payment,1731100640.919926,40380,16,1
1,NewOrder,1731100640.921438,35896,7,1
2,Payment,1731100640.925631,32489,27,1
2,Payment,1731100640.925797,43436,5,1
2,Payment,1731100640.925830,35342,19,1
1,NewOrder,1731100640.925926,23592,8,1
1,NewOrder,1731100640.926010,35461,25,1
1,NewOrder,1731100640.926110,37077,14,1
5,StockLevel,1731100640.926423,9821,30,1
2,Payment,1731100640.926548,42165,26,1
2,Payment,1731100640.928000,41264,13,1
2,Payment,1731100640.928434,40500,3,1
2,Payment,1731100640.928757,39680,21,1
2,Payment,1731100640.929343,40387,29,1
2,Payment,1731100640.929457,40504,31,1
1,NewOrder,1731100640.930963,20961,18,1
3,OrderStatus,1731100640.931506,6444,1,1
1,NewOrder,1731100640.932020,13744,2,1
2,Payment,1731100640.932211,43296,20,1
1,NewOrder,1731100640.932558,25334,0,1
2,Payment,1731100640.933448,41341,12,1
1,NewOrder,1731100640.934444,10261,15,1
2,Payment,1731100640.935607,33893,9,1
2,Payment,1731100640.936497,39204,30,1
1,NewOrder,1731100640.937462,48651,17,1
1,NewOrder,1731100640.938443,26411,24,1
2,Payment,1731100640.939443,35795,11,1
1,NewOrder,1731100640.940439,19594,1,1
1,NewOrder,1731100640.941446,11179,6,1
1,NewOrder,1731100640.942446,24470,22,1
2,Payment,1731100640.944719,30649,15,1
1,NewOrder,1731100640.944833,11670,23,1
1,NewOrder,1731100640.945776,11689,2,1
1,NewOrder,1731100640.949532,24437,8,1
5,StockLevel,1731100640.951939,3315,18,1
2,Payment,1731100640.952639,26136,6,1
2,Payment,1731100640.953512,24385,4,1
2,Payment,1731100640.955247,23781,28,1
2,Payment,1731100640.955269,22568,18,1
3,OrderStatus,1731100640.956514,6919,23,1
1,NewOrder,1731100640.957422,17763,7,1
1,NewOrder,1731100640.957473,12767,2,1
5,StockLevel,1731100640.957903,6765,0,1
2,Payment,1731100640.958134,9272,27,1
4,Delivery,1731100640.958789,12320,10,1
2,Payment,1731100640.960046,20952,1,1
2,Payment,1731100640.960321,21590,16,1
2,Payment,1731100640.962132,19718,19,1
1,NewOrder,1731100640.962214,12510,25,1
2,Payment,1731100640.963200,19272,14,1
2,Payment,1731100640.963444,19011,23,1
4,Delivery,1731100640.964681,8,0,1
1,NewOrder,1731100640.965440,16232,0,1
1,NewOrder,1731100640.966461,28125,24,1
2,Payment,1731100640.967442,7052,22,1
4,Delivery,1731100640.968448,25810,21,1
1,NewOrder,1731100640.969571,16834,27,1
1,NewOrder,1731100640.970443,16812,26,1
2,Payment,1731100640.971583,16133,3,1
2,Payment,1731100640.972668,14616,5,1
1,NewOrder,1731100640.973489,21120,13,1
1,NewOrder,1731100640.974562,19413,9,1
2,Payment,1731100640.975588,19215,29,1
1,NewOrder,1731100640.976514,11793,31,1
2,Payment,1731100640.977449,16928,2,1
4,Delivery,1731100640.978583,30119,10,1
1,NewOrder,1731100640.979488,14975,8,1
2,Payment,1731100640.980876,5557,22,1
2,Payment,1731100640.981443,12291,25,1
2,Payment,1731100640.982450,20211,12,1
2,Payment,1731100640.983462,20288,7,1
2,Payment,1731100640.984450,13809,11,1
1,NewOrder,1731100640.985464,16112,15,1
1,NewOrder,1731100640.986442,18169,22,1
5,StockLevel,1731100640.987564,2167,30,1
1,NewOrder,1731100640.988651,15569,18,1
2,Payment,1731100640.989477,19321,4,1
2,Payment,1731100640.990453,18541,6,1
1,NewOrder,1731100640.991468,13201,28,1
2,Payment,1731100640.992438,15366,1,1
5,StockLevel,1731100640.993910,4158,0,1
1,NewOrder,1731100640.994814,7116,29,1
1,NewOrder,1731100640.995443,18101,16,1
1,NewOrder,1731100640.996444,18604,23,1
1,NewOrder,1731100640.997458,9204,14,1
2,Payment,1731100640.998440,11859,17,1
1,NewOrder,1731100640.999488,10687,27,1
2,Payment,1731100641.000443,9671,20,1
1,NewOrder,1731100641.001450,18061,26,1
2,Payment,1731100641.002496,4138,5,1
2,Payment,1731100641.003763,11336,7,1
1,NewOrder,1731100641.004626,4779,22,1
2,Payment,1731100641.005446,11242,30,1
2,Payment,1731100641.006445,3271,25,1
2,Payment,1731100641.007511,15314,9,1
1,NewOrder,1731100641.008449,29065,21,1
2,Payment,1731100641.009488,5443,2,1
1,NewOrder,1731100641.010445,32912,8,1
1,NewOrder,1731100641.011448,28707,24,1
2,Payment,1731100641.012441,23732,13,1
1,NewOrder,1731100641.013452,30291,19,1
2,Payment,1731100641.014880,7691,0,1
1,NewOrder,1731100641.015449,5206,11,1
1,NewOrder,1731100641.016490,19316,15,1
2,Payment,1731100641.017445,28818,29,1
2,Payment,1731100641.018602,28080,12,1
3,OrderStatus,1731100641.019452,4403,3,1
2,Payment,1731100641.020442,28949,18,1
1,NewOrder,1731100641.021448,11740,28,1
1,NewOrder,1731100641.022488,8243,31,1
2,Payment,1731100641.023619,22279,5,1
1,NewOrder,1731100641.024487,16511,14,1
2,Payment,1731100641.025669,24432,1,1
1,NewOrder,1731100641.026501,12641,10,1
2,Payment,1731100641.027446,25745,4,1
3,OrderStatus,1731100641.028439,5213,6,1
2,Payment,1731100641.029451,23520,22,1
1,NewOrder,1731100641.030441,9314,25,1
1,NewOrder,1731100641.031461,11922,20,1
1,NewOrder,1731100641.032443,7199,27,1
2,Payment,1731100641.033608,20126,17,1
1,NewOrder,1731100641.034649,17703,16,1
4,Delivery,1731100641.035462,8,2,1
2,Payment,1731100641.036441,16726,23,1
2,Payment,1731100641.037443,16062,7,1
1,NewOrder,1731100641.038461,14411,30,1
5,StockLevel,1731100641.039514,5683,26,1
1,NewOrder,1731100641.040438,4812,11,1
1,NewOrder,1731100641.041457,11958,0,1
1,NewOrder,1731100641.042435,17512,9,1
2,Payment,1731100641.043438,9863,3,1
1,NewOrder,1731100641.044441,15261,31,1
5,StockLevel,1731100641.045439,4040,28,1
2,Payment,1731100641.046436,13074,6,1
1,NewOrder,1731100641.047436,15927,2,1
2,Payment,1731100641.048438,10991,15,1
1,NewOrder,1731100641.049447,12751,13,1
2,Payment,1731100641.050487,8687,21,1
3,OrderStatus,1731100641.051438,5174,10,1
2,Payment,1731100641.052440,16269,27,1
5,StockLevel,1731100641.053442,3918,25,1
5,StockLevel,1731100641.054440,4783,24,1
2,Payment,1731100641.055454,20974,14,1
1,NewOrder,1731100641.056440,9092,8,1
1,NewOrder,1731100641.057442,17440,20,1
1,NewOrder,1731100641.058466,23286,19,1
1,NewOrder,1731100641.059479,10035,26,1
2,Payment,1731100641.060444,21720,11,1
2,Payment,1731100641.061449,20470,5,1
1,NewOrder,1731100641.062436,17307,29,1
1,NewOrder,1731100641.063435,13956,12,1
4,Delivery,1731100641.064479,24096,18,1
1,NewOrder,1731100641.065437,16291,28,1
2,Payment,1731100641.066435,15820,1,1
5,StockLevel,1731100641.067541,5456,16,1
2,Payment,1731100641.068435,13993,30,1
2,Payment,1731100641.069507,18589,22,1
2,Payment,1731100641.070483,17146,23,1
2,Payment,1731100641.071438,16674,4,1
2,Payment,1731100641.072440,15721,3,1
2,Payment,1731100641.073441,14787,0,1
1,NewOrder,1731100641.074436,7331,7,1
2,Payment,1731100641.075432,13181,17,1
2,Payment,1731100641.076581,14555,10,1
