Time (seconds),Requests,Throughput (requests/second),Minimum Latency (microseconds),25th Percentile Latency (microseconds),Median Latency (microseconds),Average Latency (microseconds),75th Percentile Latency (microseconds),90th Percentile Latency (microseconds),95th Percentile Latency (microseconds),99th Percentile Latency (microseconds),Maximum Latency (microseconds)
0,1001,1001.000,5,5336,9276,13508,17512,31549,39804,58193,92705
1,1000,1000.000,5,2473,3845,4496,5627,8009,10242,14843,24311
2,1000,1000.000,4,2405,3468,4070,4936,7324,9188,14263,26273
3,1000,1000.000,3,2169,3199,3641,4609,6219,7339,11083,27372
4,1000,1000.000,2,2211,3307,3752,4723,6613,8222,11721,17180
5,1000,1000.000,2,2169,3248,3670,4548,6200,7734,12631,24350
6,1000,1000.000,1,2147,3105,3468,4369,6040,7324,9327,17899
7,1000,1000.000,1,2559,4210,11662,9473,20180,32383,161461,169103
8,1000,1000.000,1,2110,3109,3525,4464,6023,7455,13573,19671
9,1000,1000.000,2,2247,3402,3939,4925,6724,7917,15968,28266
10,1000,1000.000,1,2185,3442,3978,4752,6684,8184,17750,35835
11,1000,1000.000,2,2738,4493,5470,6673,10496,13219,25264,44571
12,1000,1000.000,2,5961,10738,18542,19628,36656,59077,143766,158070
13,1000,1000.000,2,2714,4142,4832,6086,8531,10859,15841,34566
14,1000,1000.000,2,3006,5573,6812,9078,14029,17300,25215,37825
15,1000,1000.000,2,1085,1873,2232,2917,4208,5188,7552,10833
16,1000,1000.000,1,1004,1620,1887,2558,3286,3918,5511,7311
17,1000,1000.000,1,981,1491,1844,2556,3207,3779,5569,6346
18,1000,1000.000,1,982,1665,1885,2553,3232,3650,5784,10316
19,999,999.000,2,1024,1725,1982,2686,3418,4163,5972,8141
