Time (seconds),Requests,Throughput (requests/second),Minimum Latency (microseconds),25th Percentile Latency (microseconds),Median Latency (microseconds),Average Latency (microseconds),75th Percentile Latency (microseconds),90th Percentile Latency (microseconds),95th Percentile Latency (microseconds),99th Percentile Latency (microseconds),Maximum Latency (microseconds)
0,1502,1502.000,5,6467,12807,17799,23542,36124,43108,115318,125752
1,1499,1499.000,4,3663,5364,6483,7803,11979,15770,25030,42735
2,332,332.000,6,3512,5505,102458,8965,23616,1009384,1025202,1062725
3,2080,2080.000,2,5817,9874,12313,17368,24790,28856,36216,97358
4,144,144.000,665,4854,10548,230859,27393,1007538,1012208,1026378,1030989
5,2682,2682.000,1,5684,9778,11512,15626,21953,26382,38197,63951
6,2263,2263.000,1,3952,6728,9010,12251,19013,23344,34889,55693
7,1500,1500.000,2,3112,4588,4923,6115,8591,10113,14357,20704
8,1500,1500.000,3,3066,4519,4985,6141,8576,10248,15870,25611
9,1500,1500.000,4,2984,4427,4789,5953,8300,9830,13631,23919
10,1500,1500.000,3,3019,4421,4892,6042,8699,10404,16358,21961
11,569,569.000,4,2890,4322,61492,5946,8904,1001380,1035303,1048360
12,1797,1797.000,2,5536,9659,11150,14941,21088,25251,38844,66659
13,2134,2134.000,2,3967,6400,8272,10781,17608,21476,29660,45994
14,1500,1500.000,3,3200,4932,5747,7286,11180,13411,17917,27438
15,1500,1500.000,3,3506,5124,5733,7305,9981,12265,20144,32913
16,1500,1500.000,3,3131,4668,5422,6475,9473,12116,23925,40031
17,1499,1499.000,3,2987,4485,4730,5987,8116,9628,12653,25716
18,1501,1501.000,3,3046,4510,4813,6096,8564,9860,12355,16624
19,1492,1492.000,3,3244,4575,4985,6275,8581,10261,14051,17689
