Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,59.200,1.281,0.361,0.720,0.951,1.384,2.300,2.899,6.856,12.658,0.781
5,69.200,0.566,0.269,0.404,0.505,0.654,0.846,0.997,1.688,2.558,1.767
10,65.800,0.458,0.253,0.345,0.409,0.512,0.656,0.754,1.200,1.843,2.184
15,61.400,0.465,0.262,0.339,0.410,0.527,0.700,0.833,1.250,1.685,2.151
