Time (seconds),Requests,Throughput (requests/second),Minimum Latency (microseconds),25th Percentile Latency (microseconds),Median Latency (microseconds),Average Latency (microseconds),75th Percentile Latency (microseconds),90th Percentile Latency (microseconds),95th Percentile Latency (microseconds),99th Percentile Latency (microseconds),Maximum Latency (microseconds)
0,1501,1501.000,3,7276,14572,17157,22947,33039,40843,79958,91594
1,1500,1500.000,3,2762,4287,5241,6483,9822,12824,21318,28599
2,1500,1500.000,2,2048,3103,3597,4530,6374,8034,12433,20046
3,1500,1500.000,2,2073,3121,3739,4696,7037,8864,11977,19378
4,1500,1500.000,2,1749,2819,3317,4178,6161,7801,10643,23516
5,1500,1500.000,1,1780,2759,3122,3977,5739,6907,9427,13214
6,1500,1500.000,1,1517,2561,3999,3901,6945,10373,44366,63652
7,1500,1500.000,1,1571,2663,2991,3867,5434,6794,9176,12421
8,1500,1500.000,1,1712,2784,3281,4194,6116,7807,11182,17026
9,1500,1500.000,1,1510,2362,2706,3415,4843,5931,8565,13850
10,1500,1500.000,1,1486,2538,2841,3568,5164,6643,9624,13692
11,1500,1500.000,1,1592,2641,3049,3914,5613,6982,10272,16606
12,1500,1500.000,1,1541,2503,2870,3635,5168,6610,9357,14869
13,1500,1500.000,1,1593,2653,3086,3890,5915,7311,10419,18418
14,1500,1500.000,1,1700,2721,3208,4015,5975,7417,10309,34643
15,1500,1500.000,1,1618,2736,3139,4081,5824,7264,10284,16481
16,1500,1500.000,1,1766,2979,3407,4338,6450,8005,10832,23619
17,1500,1500.000,1,1620,2779,3243,4102,5908,7857,11985,24958
18,1500,1500.000,1,1681,2679,3107,3981,5525,7088,10339,19278
19,1495,1495.000,1,1512,2438,2880,3654,5467,6743,9406,15885
