Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,53.600,2.256,0.529,1.416,1.651,2.217,3.819,5.287,12.530,13.723,0.443
5,55.600,1.471,0.671,1.214,1.358,1.605,1.928,2.232,3.328,4.422,0.680
10,51.200,1.468,0.452,1.186,1.369,1.561,1.943,2.380,3.772,5.302,0.681
15,54.200,1.408,0.513,1.135,1.304,1.485,1.964,2.346,3.271,3.543,0.710
