Time (seconds),Requests,Throughput (requests/second),Minimum Latency (microseconds),25th Percentile Latency (microseconds),Median Latency (microseconds),Average Latency (microseconds),75th Percentile Latency (microseconds),90th Percentile Latency (microseconds),95th Percentile Latency (microseconds),99th Percentile Latency (microseconds),Maximum Latency (microseconds)
0,1251,1251.000,3,4250,8188,13184,17680,29808,42433,59688,96824
1,1250,1250.000,3,1824,2871,3221,3962,5613,7171,10344,14183
2,1250,1250.000,3,1338,2157,2515,3097,4577,5672,8609,14629
3,1250,1250.000,2,1316,2059,2373,3069,4123,5041,7132,12456
4,1250,1250.000,2,1278,2035,2345,3017,4031,5053,7568,13586
5,1250,1250.000,2,1305,2117,2441,3140,4369,5537,7593,11907
6,1250,1250.000,2,1215,1973,2444,3076,4580,5877,8763,23010
7,1250,1250.000,317,1215,2029,2281,2946,3917,5028,7320,10330
8,1250,1250.000,1,1187,1913,2188,2846,3835,4829,6828,8585
9,1250,1250.000,1,1234,2087,2355,3033,4187,5060,7588,10289
10,1250,1250.000,1,1287,2030,2319,3041,4047,5152,7081,8595
11,1250,1250.000,2,1273,2122,2767,3166,4973,6482,16774,31304
12,1250,1250.000,2,1250,1976,2278,2940,4054,5014,7366,12756
13,1250,1250.000,1,1227,2033,2249,2934,3886,4856,6748,12328
14,1250,1250.000,1,1223,1977,2321,2960,4212,5248,7853,12759
15,1250,1250.000,2,1142,1913,2165,2856,3729,4561,6798,9664
16,1250,1250.000,1,1237,2089,2352,2990,4250,5254,7491,11078
17,1250,1250.000,1,1229,2019,2498,2955,4319,5527,15157,26290
18,1250,1250.000,1,1244,2117,2430,3082,4551,5547,8228,12082
19,1247,1247.000,1,1274,1982,2385,3055,4351,5282,8036,14642
