Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,20.600,2.448,1.387,1.674,1.948,2.487,3.187,4.186,14.128,16.118,0.408
5,18.400,1.953,1.321,1.597,1.849,2.210,2.567,2.960,3.894,3.894,0.512
10,24.200,1.868,1.104,1.427,1.639,2.010,2.656,3.308,3.901,5.851,0.535
15,16.600,1.896,0.833,1.519,1.775,2.124,2.548,3.036,4.188,4.188,0.528
