Time (seconds),Requests,Throughput (requests/second),Minimum Latency (microseconds),25th Percentile Latency (microseconds),Median Latency (microseconds),Average Latency (microseconds),75th Percentile Latency (microseconds),90th Percentile Latency (microseconds),95th Percentile Latency (microseconds),99th Percentile Latency (microseconds),Maximum Latency (microseconds)
0,501,501.000,7,3372,5031,8804,8138,18349,32413,58772,67915
1,500,500.000,13,2230,3266,3743,4605,5955,7653,13522,18502
2,500,500.000,5,2038,3138,3860,4582,6610,9437,18236,24110
3,500,500.000,12,1791,2964,3296,4452,5327,6200,9280,14303
4,500,500.000,8,1701,2503,3061,4155,5067,6073,8751,14383
5,500,500.000,10,1659,2718,3124,4200,5032,6144,9046,13215
6,500,500.000,9,1681,2778,3291,4350,5877,7231,11051,14666
7,500,500.000,8,1732,2791,3372,4365,6102,6966,14495,17421
8,500,500.000,13,1641,2729,3126,4341,5366,6406,8704,10654
9,500,500.000,679,1662,2526,3100,4226,5257,6462,9513,13045
10,500,500.000,5,1622,2718,2956,4034,5024,5564,7986,12032
11,500,500.000,6,1652,2727,3275,4361,5763,7037,11447,16166
12,500,500.000,5,1609,2841,3180,4307,5758,6775,9273,12542
13,500,500.000,4,1660,2731,3157,4320,5577,6284,9483,11497
14,500,500.000,4,1831,2803,3445,4757,5979,7237,9633,19422
15,500,500.000,4,1771,2897,3301,4408,5461,6470,9525,21453
16,500,500.000,4,1846,2725,3235,4339,5280,6281,12652,19601
17,500,500.000,4,1705,3016,8137,4942,9210,56167,101690,107721
18,500,500.000,4,1645,2840,3115,4259,5155,5691,9186,12455
19,499,499.000,3,1655,2644,3323,4504,6002,7404,9935,16642
