Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,208.000,3.455,1.351,1.774,2.152,2.928,4.658,7.700,32.384,67.915,0.289
5,218.400,1.979,1.316,1.573,1.724,2.064,2.552,3.164,6.493,17.259,0.505
10,205.000,1.948,1.102,1.548,1.721,2.051,2.594,3.088,5.578,7.710,0.513
15,215.200,3.488,1.315,1.609,1.783,2.139,2.623,3.851,77.016,103.178,0.287
