Time (seconds),Requests,Throughput (requests/second),Minimum Latency (microseconds),25th Percentile Latency (microseconds),Median Latency (microseconds),Average Latency (microseconds),75th Percentile Latency (microseconds),90th Percentile Latency (microseconds),95th Percentile Latency (microseconds),99th Percentile Latency (microseconds),Maximum Latency (microseconds)
0,501,501.000,15,5141,8261,13143,14026,27124,47527,68090,95434
1,500,500.000,16,4116,5715,6788,7800,11336,16277,25776,44195
2,500,500.000,7,3394,5175,6592,8346,12831,15585,25433,34941
3,500,500.000,11,2575,4218,5256,6356,9870,12705,21974,28715
4,500,500.000,1207,2518,4028,5035,6155,8950,11516,21052,39383
5,500,500.000,10,2460,3976,4837,6060,9248,11482,18448,33278
6,500,500.000,12,2431,3747,4597,5810,8403,10988,17039,19845
7,500,500.000,11,2471,4023,4977,6061,9037,12407,21241,26957
8,500,500.000,12,2293,3784,4565,5988,8763,10036,16316,23587
9,500,500.000,10,1950,3428,4212,5510,8270,10294,15991,19559
10,500,500.000,11,2085,3634,4615,5583,8472,12233,20831,23704
11,500,500.000,953,2061,3525,4377,5554,8217,9975,15682,28712
12,500,500.000,5,2184,3535,4272,5426,7869,9722,14940,22685
13,500,500.000,3,2215,3506,4275,5463,7717,9724,14786,44816
14,500,500.000,3,1593,2865,3471,4456,6230,7848,11816,18606
15,500,500.000,4,1603,2953,3365,4320,5849,8227,10412,13004
16,500,500.000,3,1648,3010,3644,4616,6044,8488,18442,23320
17,500,500.000,6,2027,4079,8093,6540,15315,43353,75426,91908
18,500,500.000,2,1863,3147,3777,4825,6299,8554,16711,18890
19,499,499.000,4,1569,2871,3665,4739,7542,8628,14519,19271
