Time (seconds),Requests,Throughput (requests/second),Minimum Latency (microseconds),25th Percentile Latency (microseconds),Median Latency (microseconds),Average Latency (microseconds),75th Percentile Latency (microseconds),90th Percentile Latency (microseconds),95th Percentile Latency (microseconds),99th Percentile Latency (microseconds),Maximum Latency (microseconds)
0,501,501.000,6,1876,2830,4825,4311,9183,18721,36128,48666
1,500,500.000,3,1292,1843,2064,2677,3254,3493,5453,9231
2,500,500.000,3,1107,1690,1945,2602,3151,3421,6412,10442
3,500,500.000,3,1032,1492,1852,2566,3086,3455,5032,8862
4,500,500.000,597,1036,1605,1804,2427,2966,3287,4296,5700
5,500,500.000,3,1049,1744,1883,2644,3085,3441,4748,5604
6,500,500.000,3,1007,1452,1738,2412,2980,3282,4058,5305
7,500,500.000,4,1021,1636,1791,2484,2999,3300,4337,5044
8,500,500.000,3,1026,1606,1797,2547,3032,3274,4309,4717
9,500,500.000,3,999,1683,1790,2448,2967,3222,4670,5254
10,500,500.000,3,1005,1468,1769,2438,3028,3318,4589,5988
11,500,500.000,2,997,1373,1710,2385,2876,3156,4247,5200
12,500,500.000,2,980,1366,1716,2360,2895,3227,4776,5736
13,500,500.000,1,1011,1708,1777,2487,3016,3302,3993,5019
14,500,500.000,440,991,1670,1793,2590,3003,3272,3904,4715
15,500,500.000,1,966,1281,1655,2325,2867,3121,4101,4698
16,500,500.000,1,966,1330,1662,2339,2855,3123,4128,4801
17,500,500.000,2,984,1696,3525,2535,3157,6545,60817,69298
18,500,500.000,318,981,1422,1733,2489,3004,3222,4123,5162
19,499,499.000,273,957,1206,1621,2231,2878,3068,4093,4663
