Transaction Type Index,Transaction Name,Start Time (microseconds),Latency (microseconds),Worker Id (start number),Phase Id (index in config file)
2,Payment,1731100809.701548,48666,24,1
1,NewOrder,1731100809.703280,16117,22,1
2,Payment,1731100809.705283,42472,21,1
2,Payment,1731100809.707292,46533,20,1
1,NewOrder,1731100809.709288,20343,19,1
1,NewOrder,1731100809.711301,27675,18,1
2,Payment,1731100809.713291,41516,16,1
2,Payment,1731100809.717230,36128,17,1
2,Payment,1731100809.717246,37282,15,1
1,NewOrder,1731100809.719293,19245,14,1
1,NewOrder,1731100809.721657,28869,13,1
1,NewOrder,1731100809.723288,19092,12,1
2,Payment,1731100809.725283,34455,9,1
2,Payment,1731100809.727272,32309,10,1
1,NewOrder,1731100809.729405,14060,25,1
4,Delivery,1731100809.731298,11782,11,1
2,Payment,1731100809.733304,26644,8,1
5,StockLevel,1731100809.735288,4656,7,1
2,Payment,1731100809.737341,22826,6,1
2,Payment,1731100809.739296,19930,5,1
4,Delivery,1731100809.741285,18,1,1
2,Payment,1731100809.743486,16231,25,1
1,NewOrder,1731100809.745293,16981,3,1
1,NewOrder,1731100809.747292,28482,4,1
1,NewOrder,1731100809.749287,25656,0,1
2,Payment,1731100809.751286,11103,26,1
2,Payment,1731100809.753848,8234,20,1
2,Payment,1731100809.755406,11458,28,1
1,NewOrder,1731100809.757294,27608,29,1
1,NewOrder,1731100809.759416,25569,30,1
2,Payment,1731100809.761362,23174,31,1
1,NewOrder,1731100809.763339,9246,23,1
4,Delivery,1731100809.765986,23336,22,1
1,NewOrder,1731100809.767331,4946,19,1
2,Payment,1731100809.769578,22365,14,1
1,NewOrder,1731100809.771285,10264,18,1
2,Payment,1731100809.773760,18721,7,1
1,NewOrder,1731100809.775288,21261,1,1
2,Payment,1731100809.777286,15157,12,1
2,Payment,1731100809.780069,12787,11,1
5,StockLevel,1731100809.781506,3793,2,1
2,Payment,1731100809.783361,5282,21,1
2,Payment,1731100809.785467,11959,24,1
1,NewOrder,1731100809.787501,9819,13,1
2,Payment,1731100809.789465,7353,17,1
1,NewOrder,1731100809.791288,18672,15,1
1,NewOrder,1731100809.793293,12357,27,1
1,NewOrder,1731100809.795285,11346,16,1
1,NewOrder,1731100809.797397,9916,5,1
2,Payment,1731100809.799293,5642,10,1
2,Payment,1731100809.801299,9043,25,1
2,Payment,1731100809.803305,10650,9,1
1,NewOrder,1731100809.805283,13020,8,1
4,Delivery,1731100809.807283,5220,6,1
2,Payment,1731100809.809315,4340,20,1
1,NewOrder,1731100809.811282,4942,3,1
1,NewOrder,1731100809.813288,13354,26,1
2,Payment,1731100809.815288,3914,28,1
2,Payment,1731100809.817287,5229,19,1
1,NewOrder,1731100809.819318,3798,23,1
4,Delivery,1731100809.821296,8,0,1
2,Payment,1731100809.823285,2591,4,1
1,NewOrder,1731100809.825292,2992,18,1
1,NewOrder,1731100809.827287,7265,31,1
2,Payment,1731100809.829283,8681,29,1
2,Payment,1731100809.831281,9929,30,1
1,NewOrder,1731100809.833291,6401,2,1
1,NewOrder,1731100809.835284,7304,21,1
1,NewOrder,1731100809.837287,12651,22,1
2,Payment,1731100809.839286,7307,14,1
2,Payment,1731100809.841281,3438,12,1
2,Payment,1731100809.843287,6097,7,1
2,Payment,1731100809.845311,7374,11,1
2,Payment,1731100809.847303,7963,1,1
3,OrderStatus,1731100809.849292,2912,17,1
2,Payment,1731100809.852240,2800,13,1
2,Payment,1731100809.853295,4948,24,1
2,Payment,1731100809.855310,5124,10,1
1,NewOrder,1731100809.857287,4591,27,1
1,NewOrder,1731100809.859286,5062,16,1
2,Payment,1731100809.861301,2050,5,1
3,OrderStatus,1731100809.863288,1871,15,1
1,NewOrder,1731100809.865284,4422,25,1
1,NewOrder,1731100809.867286,6644,6,1
2,Payment,1731100809.869282,2150,20,1
1,NewOrder,1731100809.871283,8738,9,1
1,NewOrder,1731100809.873281,4540,3,1
1,NewOrder,1731100809.875284,9183,8,1
1,NewOrder,1731100809.877283,7619,28,1
1,NewOrder,1731100809.879278,8054,0,1
2,Payment,1731100809.881341,2313,19,1
1,NewOrder,1731100809.883287,3150,23,1
1,NewOrder,1731100809.885298,5372,4,1
2,Payment,1731100809.887280,2973,26,1
2,Payment,1731100809.889284,3490,18,1
1,NewOrder,1731100809.891282,3428,31,1
4,Delivery,1731100809.893280,11824,29,1
2,Payment,1731100809.895277,2308,2,1
2,Payment,1731100809.897329,2662,30,1
1,NewOrder,1731100809.899282,5358,21,1
1,NewOrder,1731100809.901281,6192,12,1
2,Payment,1731100809.903305,2557,14,1
2,Payment,1731100809.905281,2572,7,1
1,NewOrder,1731100809.907281,2692,22,1
1,NewOrder,1731100809.909283,4871,17,1
4,Delivery,1731100809.911278,3847,11,1
1,NewOrder,1731100809.913282,5464,13,1
5,StockLevel,1731100809.915281,2469,1,1
1,NewOrder,1731100809.917285,6302,24,1
4,Delivery,1731100809.919277,4445,10,1
2,Payment,1731100809.921281,2774,27,1
2,Payment,1731100809.923320,2530,5,1
2,Payment,1731100809.925304,3259,16,1
2,Payment,1731100809.927294,3713,15,1
5,StockLevel,1731100809.929280,3241,25,1
2,Payment,1731100809.931282,1832,20,1
1,NewOrder,1731100809.933279,2789,6,1
2,Payment,1731100809.935282,3048,3,1
1,NewOrder,1731100809.937497,3319,9,1
1,NewOrder,1731100809.939291,2922,19,1
1,NewOrder,1731100809.941291,4358,8,1
2,Payment,1731100809.943288,1952,28,1
4,Delivery,1731100809.945282,8629,23,1
1,NewOrder,1731100809.947278,4031,0,1
3,OrderStatus,1731100809.949289,1235,26,1
1,NewOrder,1731100809.951287,3667,4,1
1,NewOrder,1731100809.953347,3931,18,1
2,Payment,1731100809.955286,3240,31,1
1,NewOrder,1731100809.957282,3962,2,1
1,NewOrder,1731100809.959283,6304,30,1
1,NewOrder,1731100809.961280,8804,21,1
3,OrderStatus,1731100809.963301,2390,29,1
2,Payment,1731100809.965600,2026,30,1
2,Payment,1731100809.967287,2390,12,1
1,NewOrder,1731100809.969291,7056,7,1
1,NewOrder,1731100809.971281,9008,22,1
1,NewOrder,1731100809.973280,5226,17,1
1,NewOrder,1731100809.975281,6567,11,1
1,NewOrder,1731100809.977315,3349,1,1
1,NewOrder,1731100809.979303,3171,13,1
2,Payment,1731100809.981283,1860,24,1
1,NewOrder,1731100809.983278,4585,10,1
2,Payment,1731100809.985277,1805,27,1
2,Payment,1731100809.987278,1722,5,1
1,NewOrder,1731100809.989283,3768,16,1
1,NewOrder,1731100809.991285,3940,15,1
1,NewOrder,1731100809.993283,4916,25,1
2,Payment,1731100809.995285,1858,20,1
2,Payment,1731100809.997282,2534,6,1
2,Payment,1731100809.999292,2488,3,1
2,Payment,1731100810.001289,3516,9,1
1,NewOrder,1731100810.003276,2854,19,1
2,Payment,1731100810.005288,1770,28,1
1,NewOrder,1731100810.007283,3434,8,1
4,Delivery,1731100810.009272,22471,26,1
1,NewOrder,1731100810.011277,3254,0,1
1,NewOrder,1731100810.013290,3136,23,1
2,Payment,1731100810.015305,2315,4,1
4,Delivery,1731100810.017299,7592,18,1
1,NewOrder,1731100810.019289,6940,31,1
5,StockLevel,1731100810.021283,1622,2,1
1,NewOrder,1731100810.023288,6574,29,1
2,Payment,1731100810.025280,2141,14,1
2,Payment,1731100810.027285,2370,30,1
1,NewOrder,1731100810.029283,5253,12,1
5,StockLevel,1731100810.031285,2450,21,1
2,Payment,1731100810.033281,2032,7,1
1,NewOrder,1731100810.035281,2970,17,1
1,NewOrder,1731100810.037275,2489,22,1
4,Delivery,1731100810.039274,6,1,1
1,NewOrder,1731100810.041273,4480,11,1
2,Payment,1731100810.043285,2882,13,1
5,StockLevel,1731100810.045286,2525,24,1
2,Payment,1731100810.047281,1932,27,1
2,Payment,1731100810.049276,1781,10,1
2,Payment,1731100810.051274,1840,5,1
2,Payment,1731100810.053273,1773,16,1
3,OrderStatus,1731100810.055272,1368,15,1
3,OrderStatus,1731100810.057274,1527,20,1
1,NewOrder,1731100810.059282,4302,25,1
2,Payment,1731100810.061273,1908,6,1
2,Payment,1731100810.063279,1738,3,1
1,NewOrder,1731100810.065276,2443,9,1
1,NewOrder,1731100810.067282,3007,19,1
1,NewOrder,1731100810.069276,3479,28,1
2,Payment,1731100810.071284,2664,8,1
1,NewOrder,1731100810.073285,4050,0,1
2,Payment,1731100810.075276,2331,23,1
1,NewOrder,1731100810.077283,3326,4,1
2,Payment,1731100810.079277,2075,2,1
1,NewOrder,1731100810.081278,4649,18,1
2,Payment,1731100810.083275,2934,31,1
1,NewOrder,1731100810.085283,4073,14,1
2,Payment,1731100810.087278,1761,30,1
1,NewOrder,1731100810.089279,6054,29,1
1,NewOrder,1731100810.091275,3746,26,1
2,Payment,1731100810.093287,2354,21,1
2,Payment,1731100810.095281,2462,12,1
1,NewOrder,1731100810.097289,2712,7,1
1,NewOrder,1731100810.099276,3388,17,1
1,NewOrder,1731100810.101270,4387,1,1
1,NewOrder,1731100810.103273,7232,22,1
3,OrderStatus,1731100810.105275,1797,11,1
2,Payment,1731100810.107283,1775,13,1
2,Payment,1731100810.109281,2020,24,1
2,Payment,1731100810.111280,1885,27,1
2,Payment,1731100810.113276,1831,10,1
5,StockLevel,1731100810.115284,2670,5,1
4,Delivery,1731100810.117275,6781,16,1
2,Payment,1731100810.119279,1863,15,1
2,Payment,1731100810.121286,1488,20,1
1,NewOrder,1731100810.123281,2452,6,1
2,Payment,1731100810.125275,2234,25,1
1,NewOrder,1731100810.127277,3758,3,1
2,Payment,1731100810.129285,2157,9,1
2,Payment,1731100810.131288,2010,19,1
2,Payment,1731100810.133279,1896,28,1
2,Payment,1731100810.135281,1746,8,1
2,Payment,1731100810.137285,2474,0,1
2,Payment,1731100810.139291,2806,23,1
1,NewOrder,1731100810.141315,3174,4,1
1,NewOrder,1731100810.143281,2806,2,1
1,NewOrder,1731100810.145288,4460,18,1
1,NewOrder,1731100810.147294,4172,31,1
2,Payment,1731100810.149280,4443,30,1
5,StockLevel,1731100810.151292,2664,14,1
2,Payment,1731100810.153311,2438,26,1
1,NewOrder,1731100810.155289,4353,29,1
1,NewOrder,1731100810.157274,2894,21,1
1,NewOrder,1731100810.159280,4034,12,1
2,Payment,1731100810.161278,1670,7,1
2,Payment,1731100810.163279,1752,17,1
2,Payment,1731100810.165274,2728,1,1
2,Payment,1731100810.167275,2697,11,1
1,NewOrder,1731100810.169276,2491,13,1
1,NewOrder,1731100810.171277,2659,22,1
1,NewOrder,1731100810.173311,3389,24,1
