Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,750.200,2.990,0.002,1.244,2.093,2.992,4.250,6.838,27.477,67.143,0.334
5,750.000,1.845,0.001,0.998,1.610,2.564,3.094,3.527,5.164,11.035,0.542
10,750.000,1.945,0.001,0.974,1.520,2.575,3.090,3.482,6.034,45.626,0.514
15,749.800,1.763,0.001,0.964,1.620,2.514,2.957,3.217,4.504,10.697,0.567
