Time (seconds),Requests,Throughput (requests/second),Minimum Latency (microseconds),25th Percentile Latency (microseconds),Median Latency (microseconds),Average Latency (microseconds),75th Percentile Latency (microseconds),90th Percentile Latency (microseconds),95th Percentile Latency (microseconds),99th Percentile Latency (microseconds),Maximum Latency (microseconds)
0,751,751.000,754,2104,2979,6465,5634,13919,27477,53651,67143
1,750,750.000,4,1283,2077,2335,2864,3521,4698,10296,14828
2,750,750.000,5,1103,1863,2053,2811,3341,4008,5648,8726
3,750,750.000,3,1039,1557,1891,2594,3194,3875,5341,7851
4,750,750.000,2,1225,1956,2199,2855,3542,4322,6706,10233
5,750,750.000,4,1097,1912,2092,2818,3500,4154,6301,11035
6,750,750.000,383,981,1497,1830,2580,3095,3565,4883,8633
7,750,750.000,2,998,1622,1789,2530,2980,3201,4792,5784
8,750,750.000,2,996,1479,1768,2490,2990,3242,4614,5340
9,750,750.000,1,968,1358,1744,2473,2982,3213,4738,6767
10,750,750.000,1,980,1516,1759,2529,2984,3205,4209,6034
11,750,750.000,1,964,1496,1752,2510,3057,3303,4434,10452
12,750,750.000,1,970,1479,2621,2657,3313,5038,31446,45626
13,750,750.000,1,956,1577,1748,2534,2995,3278,4387,5396
14,750,750.000,1,996,1604,1844,2663,3194,3549,4547,5897
15,750,750.000,1,956,1377,1746,2510,3000,3255,4458,10697
16,750,750.000,1,969,1602,1722,2414,2893,3123,3884,5447
17,750,750.000,1,986,1694,1795,2550,2957,3197,4700,7696
18,750,750.000,1,938,1688,1762,2495,2967,3325,4607,8915
19,749,749.000,1,974,1709,1789,2544,2963,3248,4504,6030
