Time (seconds),Requests,Throughput (requests/second),Minimum Latency (microseconds),25th Percentile Latency (microseconds),Median Latency (microseconds),Average Latency (microseconds),75th Percentile Latency (microseconds),90th Percentile Latency (microseconds),95th Percentile Latency (microseconds),99th Percentile Latency (microseconds),Maximum Latency (microseconds)
0,751,751.000,1448,7079,11257,20092,23433,52561,72889,93403,113419
1,750,750.000,17,4376,6970,10751,10999,21801,35223,73942,89445
2,750,750.000,9,3561,5656,6680,8011,11951,15025,25163,55244
3,750,750.000,11,3074,5068,6101,7495,11542,14765,22406,41715
4,750,750.000,1047,3297,5128,6032,7254,11167,13879,20249,52112
5,750,750.000,11,3104,5060,5999,7326,11003,13946,21765,38357
6,750,750.000,7,2958,4827,5754,7224,10726,12804,21956,36762
7,750,750.000,852,3270,5240,5973,7567,10710,13880,19001,41153
8,750,750.000,5,3082,5074,6203,7935,11868,15315,21114,29882
9,750,750.000,4,3225,5135,5969,7505,10992,13369,20116,28901
10,750,750.000,4,2869,4962,5829,7422,11443,13967,21111,26995
11,750,750.000,5,3023,4985,5875,7554,10605,13800,20043,31857
12,750,750.000,612,2890,4759,5641,7119,10519,12954,20380,25841
13,750,750.000,3,3289,5262,6116,7511,11491,14270,19383,44192
14,750,750.000,5,3068,4913,5895,7356,11566,14721,22160,33929
15,750,750.000,4,3121,4999,5865,7155,11019,13266,20898,28409
16,750,750.000,4,3088,5069,5950,7518,11070,14257,21624,27760
17,750,750.000,4,3226,5065,5814,7170,10599,13698,18649,25883
18,750,750.000,4,3036,4913,5787,7329,11282,13835,20982,26296
19,748,748.000,4,3178,4917,5881,7254,10825,13639,18493,43287
