Time (seconds),Requests,Throughput (requests/second),Minimum Latency (microseconds),25th Percentile Latency (microseconds),Median Latency (microseconds),Average Latency (microseconds),75th Percentile Latency (microseconds),90th Percentile Latency (microseconds),95th Percentile Latency (microseconds),99th Percentile Latency (microseconds),Maximum Latency (microseconds)
0,1251,1251.000,6,5682,9257,14939,19426,34746,46664,65289,87956
1,1250,1250.000,6,3715,5546,6565,8034,11671,15265,27103,38257
2,1250,1250.000,5,3273,4881,5270,6702,9124,10682,13358,19871
3,1250,1250.000,6,3103,4663,5069,6327,8856,10492,14910,23772
4,1250,1250.000,5,2959,4351,4785,5899,8571,10404,13892,19614
5,1250,1250.000,3,2900,4393,4689,5787,8032,9641,13154,26290
6,1250,1250.000,3,2798,4369,4870,6224,8396,10030,15307,25520
7,1250,1250.000,4,2777,4272,4571,5741,7745,9336,13321,19820
8,1250,1250.000,3,2746,4237,4573,5647,8124,10008,13412,19785
9,1250,1250.000,3,2730,4427,4785,6175,8553,10233,14137,18042
10,1250,1250.000,3,2744,4295,4817,5919,8484,10614,15173,24016
11,1250,1250.000,4,2780,4474,6441,6468,10470,15922,55307,66885
12,1250,1250.000,3,2636,4194,4582,5679,8334,10122,13444,17657
13,1250,1250.000,3,2640,4178,4740,5807,8648,10873,14847,31117
14,1250,1250.000,4,2728,4321,4785,5885,8343,10956,16016,18722
15,1250,1250.000,3,2787,4343,4723,6048,8529,10071,13773,18119
16,1250,1250.000,4,2743,4402,6153,6444,9650,12441,59381,68315
17,1250,1250.000,4,3044,4715,5220,6788,9250,11031,14974,21510
18,1250,1250.000,3,2853,4517,5061,6411,9166,11195,15360,22532
19,1243,1243.000,3,2876,4530,5004,6390,8869,11068,15689,23115
