Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,52.200,2.383,0.908,1.594,1.906,2.688,3.728,4.499,7.511,23.868,0.420
5,53.200,1.796,1.059,1.384,1.590,2.124,2.629,2.948,4.069,4.467,0.557
10,52.000,1.732,0.516,1.327,1.508,1.974,2.540,3.047,4.174,5.414,0.577
15,50.200,1.819,0.750,1.339,1.523,2.010,2.981,3.425,3.943,6.991,0.550
