Time (seconds),Requests,Throughput (requests/second),Minimum Latency (microseconds),25th Percentile Latency (microseconds),Median Latency (microseconds),Average Latency (microseconds),75th Percentile Latency (microseconds),90th Percentile Latency (microseconds),95th Percentile Latency (microseconds),99th Percentile Latency (microseconds),Maximum Latency (microseconds)
0,1594,1594.000,3,9854,17397,20068,24753,36598,47088,85355,136185
1,2175,2175.000,3,8465,13978,14688,20182,25450,29247,38264,62932
2,2191,2191.000,2,7925,13137,14577,18994,27558,32714,45908,87177
3,2177,2177.000,3,8580,13170,14741,19333,27593,32694,42595,67835
4,2257,2257.000,1,7594,12609,14166,19638,26466,32542,42538,50595
5,2414,2414.000,2,7722,12281,13225,17557,23948,27321,34426,61230
6,2314,2314.000,3,7729,12330,13876,18643,26109,30296,41248,61594
7,2388,2388.000,3,7821,12189,13296,17421,24172,28403,38176,57111
8,2469,2469.000,2,7267,12016,12965,17326,23873,27655,34528,56054
9,2426,2426.000,1,7481,11593,13212,17442,25081,29957,37312,53690
10,2346,2346.000,2,7103,10761,11990,15848,21779,25837,33057,55820
11,2212,2212.000,2,7077,11932,13134,17498,24846,30083,36015,54755
12,2288,2288.000,1,6745,10815,12645,16673,24964,29766,38791,50532
13,2250,2250.000,2,6450,10205,11867,15743,23009,27242,34416,49983
14,532,532.000,3,6153,11190,73391,19213,29240,1013737,1043284,1046647
15,1757,1757.000,2,7874,12187,13670,18285,24163,30219,42634,58616
16,2413,2413.000,2,7521,11672,13282,17705,25416,29549,36421,95407
17,2442,2442.000,1,7387,11106,13067,17958,24927,29859,38593,61346
18,2550,2550.000,3,7518,11413,12533,16782,22569,26450,35477,50720
19,2257,2257.000,2,7516,12278,13995,19249,26428,30415,40095,72062
