Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,61.200,2.496,0.550,1.496,1.908,2.826,4.705,5.960,9.278,12.077,0.401
5,99.000,1.596,0.317,0.928,1.220,1.697,2.778,4.299,7.796,10.900,0.627
10,75.800,1.331,0.303,0.839,1.078,1.501,2.159,2.859,4.823,12.137,0.751
15,97.600,1.389,0.318,0.830,1.074,1.555,2.330,3.261,5.844,9.956,0.720
