Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,69.000,26.254,0.000,9.911,23.545,37.935,54.455,63.352,83.283,113.751,0.038
5,96.200,20.402,0.001,8.962,19.222,29.888,39.451,45.315,58.397,69.816,0.049
10,73.200,20.784,0.000,9.585,18.902,30.924,40.532,47.225,59.220,62.075,0.048
15,100.800,23.367,0.000,11.100,23.042,34.139,45.433,49.271,60.639,64.502,0.043
