Time (seconds),Requests,Throughput (requests/second),Minimum Latency (microseconds),25th Percentile Latency (microseconds),Median Latency (microseconds),Average Latency (microseconds),75th Percentile Latency (microseconds),90th Percentile Latency (microseconds),95th Percentile Latency (microseconds),99th Percentile Latency (microseconds),Maximum Latency (microseconds)
0,1757,1757.000,4,6794,13322,17555,23774,34002,41645,96085,132291
1,1750,1750.000,4,3888,5540,6483,7604,11203,14479,26478,46060
2,1749,1749.000,5,3563,4949,5448,6687,9266,11291,16234,20908
3,1750,1750.000,5,3358,4741,5151,6386,8681,10388,14670,26068
4,1233,1233.000,2,3035,4456,31089,6234,9215,12504,1013846,1049032
5,854,854.000,3,5405,8556,11356,14926,22255,28294,50596,74387
6,3163,3163.000,2,4632,8197,9581,13113,18150,22685,30412,60383
7,1750,1750.000,5,3154,4595,5026,6239,9039,10671,14399,21353
8,1750,1750.000,2,3606,5081,8135,7843,13985,20086,92484,110072
9,1750,1750.000,3,2964,4377,4727,5785,8079,10103,15204,20287
10,1750,1750.000,3,3237,4618,4919,6104,8324,9930,13810,20789
11,1750,1750.000,3,3166,4553,4913,6063,8634,10101,14989,20711
12,1750,1750.000,3,3409,4657,5182,6305,8780,10793,17786,25327
13,1750,1750.000,3,3329,4824,5145,6332,8710,10455,15055,21356
14,1750,1750.000,3,3228,4623,4901,6214,8418,9670,12855,17633
15,1750,1750.000,3,3279,4661,5005,6218,8635,10317,13419,18487
16,1750,1750.000,2,3008,4499,4918,6197,8721,10213,14845,34789
17,1750,1750.000,3,3407,4743,5234,6566,8911,10805,15534,30422
18,1750,1750.000,3,3287,4900,5658,6889,10112,12919,21895,28876
19,1743,1743.000,2,3290,4555,4979,6106,8762,10347,13395,20858
